supercloud,linear_mass_Msun_per_pc,amplitude_over_wavelength,frag_full_midpoint_pc,frag_over_wavelength
Radcliffe Wave,1450.17,0.0503,304.5,0.1742
Split,1321.81,,170.0,
Natrix Cloud,568.5,0.0403,365.0,0.2086
Malpolon Cloud,1022.41,0.0281,207.0,0.182
Vela Ridge Cloud,676.93,0.0185,249.0,0.0809
Sagittarius Spur Extension,1606.32,,300.5,
Anguis Cloud,790.39,,,
