supercloud,mass_Msun,mass_uncertainty,length_pc,length_uncertainty,amplitude_pc,wavelength_pc,phase_rad,offset_pc,damp_eps_a_per_pc,damp_eps_omega_per_pc,fit_type,frag_core_lo_pc,frag_core_hi_pc,frag_full_lo_pc,frag_full_hi_pc,volume_density_status,cross_section_status,external_pressure_status,source_mass_length,source_undulation,source_fragmentation
Radcliffe Wave,3580000.0,not_reported,2468.67,not_reported,-87.95,1748.0,-3.09,-13.01,-0.0011,0.000288,damped_sinusoid,251,292,219,390,Not tabulated; displayed graphically in Fig. 6 of K26 only,Not inferred; K26 authors state width/height estimates are unreliable,Not supplied per cloud,"K26 Table C.2, p.11-12 (arXiv:2507.14883v3)","K26 Table C.3, p.12 (arXiv:2507.14883v3)","KF26 Table E.1, p.8 (arXiv:2608.21028)"
Split,1850000.0,not_reported,1399.6,not_reported,,,,,,,no_fit_reported,160,190,148,192,Not tabulated; displayed graphically in Fig. 6 of K26 only,Not inferred; K26 authors state width/height estimates are unreliable,Not supplied per cloud,"K26 Table C.2, p.11-12 (arXiv:2507.14883v3)",no undulation fit reported for this cloud,"KF26 Table E.1, p.8 (arXiv:2608.21028)"
Natrix Cloud,1120000.0,not_reported,1970.08,not_reported,70.53,1749.47,-0.58,-1.17,0.00159,-0.00112,damped_sinusoid,357,366,356,374,Not tabulated; displayed graphically in Fig. 6 of K26 only,Not inferred; K26 authors state width/height estimates are unreliable,Not supplied per cloud,"K26 Table C.2, p.11-12 (arXiv:2507.14883v3)","K26 Table C.3, p.12 (arXiv:2507.14883v3)","KF26 Table E.1, p.8 (arXiv:2608.21028)"
Malpolon Cloud,1990000.0,not_reported,1946.38,not_reported,31.97,1137.4,-3.1,58.15,-0.00118,-7.52e-05,damped_sinusoid,202,215,193,221,Not tabulated; displayed graphically in Fig. 6 of K26 only,Not inferred; K26 authors state width/height estimates are unreliable,Not supplied per cloud,"K26 Table C.2, p.11-12 (arXiv:2507.14883v3)","K26 Table C.3, p.12 (arXiv:2507.14883v3)","KF26 Table E.1, p.8 (arXiv:2608.21028)"
Vela Ridge Cloud,1500000.0,not_reported,2215.88,not_reported,56.9,3078.95,0.41,59.14,,,simple_sinusoid,248,248,244,254,Not tabulated; displayed graphically in Fig. 6 of K26 only,Not inferred; K26 authors state width/height estimates are unreliable,Not supplied per cloud,"K26 Table C.2, p.11-12 (arXiv:2507.14883v3)","K26 Table C.3, p.12 (arXiv:2507.14883v3)","KF26 Table E.1, p.8 (arXiv:2608.21028)"
Sagittarius Spur Extension,2390000.0,not_reported,1487.87,not_reported,,,,,,,no_fit_reported,323,377,222,379,Not tabulated; displayed graphically in Fig. 6 of K26 only,Not inferred; K26 authors state width/height estimates are unreliable,Not supplied per cloud,"K26 Table C.2, p.11-12 (arXiv:2507.14883v3)",no undulation fit reported for this cloud,"KF26 Table E.1, p.8 (arXiv:2608.21028)"
Anguis Cloud,776000.0,not_reported,981.8,not_reported,,,,,,,no_fit_reported,,,,,Not tabulated; displayed graphically in Fig. 6 of K26 only,Not inferred; K26 authors state width/height estimates are unreliable,Not supplied per cloud,"K26 Table C.2, p.11-12 (arXiv:2507.14883v3)",no undulation fit reported for this cloud,"excluded by KF26 -- only 1 superclump recovered, spacing not measurable"
