void,Reff,ratio,dist,y_major,y_inter,y_minor,D,Dc
34,23.36656294875389,1.4057142857990572,279.2406194486443,5.814152053692701e-07,2.91150338508882e-07,6.694035319098376e-07,-8.798832654056748e-08,-3.7825319340095557e-07
53,22.99297073297514,1.3586726081485234,152.58817717465146,-1.85953036434131e-07,-8.759195387296713e-08,-3.3222478943254023e-07,1.4627175299840922e-07,2.446328355595731e-07
84,21.260003645245817,1.3107672423960448,263.6730268834231,-4.4137089236219086e-07,-2.6117287832710836e-07,-3.820362199588881e-07,-5.933467240330277e-08,1.2086334163177973e-07
93,20.854182004429745,1.3545800606719622,262.2792774012287,-3.25600738886541e-07,-4.333628683525138e-07,-4.5409010275335175e-07,1.2848936386681077e-07,2.0727234400837933e-08
106,21.197459114655345,1.3358586012710294,275.96370379933506,-2.7495276370770474e-07,-6.148959547078601e-08,-5.338971184318004e-07,2.589443547240956e-07,4.7240752296101435e-07
117,20.45317917051204,1.327943658776869,245.1630472654851,2.77139912249949e-08,1.3602065734593365e-07,1.1731634721954703e-07,-8.960235599455213e-08,1.8704310126386626e-08
118,20.1265860770159,1.3344271390957347,237.42182532706207,4.020393661410185e-08,5.0776614432151956e-08,1.4684969800241222e-08,2.551896681386063e-08,3.6091644631910735e-08
131,20.82377371441888,1.33350863327011,265.1462839001572,1.6387763989023236e-07,-1.9478306725014996e-07,2.4717766330922787e-07,-8.33000234189955e-08,-4.4196073055937783e-07
137,20.43579369753645,1.3694292792744305,298.84077743255165,-8.543544613750651e-08,-1.8713037186525626e-07,2.0811956941205412e-07,-2.935550155495606e-07,-3.952499412773104e-07
171,19.241951702249057,1.3162908235850892,224.17403899026596,2.1376956378277286e-07,4.94023682528456e-08,6.220761793112788e-08,1.5156194585164497e-07,-1.2805249678282283e-08
172,19.937118661864147,1.3194397728505014,249.05478440519397,-1.1214975654797806e-07,-1.0926488097841054e-07,-1.7537458076410213e-07,6.322482421612407e-08,6.610969978569158e-08
180,20.364887703771117,1.3474695552097682,206.03983901066465,3.1591034515330667e-07,-2.5951830704493844e-09,-5.050908339194434e-08,3.66419428545251e-07,4.791390032149496e-08
191,18.60712605573965,1.3210418284889915,314.55195619204994,-1.2524537492081453e-07,2.4937511214747397e-08,-1.609097810698726e-06,1.4838524357779115e-06,1.6340353219134734e-06
196,18.920722099952847,1.3112391495595026,300.1308413573508,2.039026952403154e-08,3.0327858114089677e-07,8.848823111570598e-08,-6.809796159167444e-08,2.147903500251908e-07
197,19.433620307788782,1.361022665844735,164.63932740872733,-3.197351982497046e-08,2.60327812455973e-07,1.5978199126945313e-07,-1.917555110944236e-07,1.0054582118651985e-07
203,19.41691550979484,1.3379320151463916,134.74328989965665,-1.4424856240790368e-07,-2.2975928340535766e-07,-1.8406317621171938e-07,3.98146138038157e-08,-4.5696107193638275e-08
