event,m1,m2,Mf,chi_eff,chi_f,Cf,pred,dev,rho
GW241109_115924,7.3,5.14,11.94,0.01,0.6731322068073087,8.058678670671588,11.551249241276478,-0.03255869001034516,1.5064647078438544e+17
GW240413_022019,7.9,5.57,12.92,0.07,0.6927642060649435,8.817524035390521,12.526042099980945,-0.030492097524694672,1.130607767876729e+17
GW240925_005809,9.02,6.99,15.32,0.02,0.6839653282629266,10.704692851591606,14.925078179039183,-0.025778186746789663,5.7916783548983896e+16
GW250118_055802,10.3,6.9,16.6,0.11,0.7013419291726203,11.615928608377896,16.0725450023302,-0.03177439744998793,4.72514549390202e+16
GW240910_103535,10.9,6.3,16.6,0.12,0.6891328664154863,11.63566493142009,16.097327977829387,-0.0302814471187117,4.569411143962832e+16
GW241130_110422,11.1,6.5,17.0,0.04,0.6626541821507963,11.93722027358942,16.475641160506974,-0.0308446376172368,4.003761002424813e+16
GW240601_231004,10.6,7.7,17.7,0.09,0.7016233008549447,12.442405023664435,17.107983731116693,-0.033447246829565305,3.8972956575545224e+16
GW240916_184352,10.7,7.8,17.8,0.05,0.6890444722026527,12.594350013167684,17.29783544508863,-0.02821149184895341,3.676510846578809e+16
GW240915_001357,10.9,7.7,17.88,0.13,0.7123700072691443,12.673753699836624,17.396987814722443,-0.027014104322010936,3.825902467274721e+16
GW240629_145256,11.1,7.8,18.1,0.04,0.6827192853472759,12.90317692637744,17.683241156076136,-0.023025350493031248,3.4078933286874908e+16
GW241102_124058,10.9,8.0,18.1,0.06,0.6927845918618311,12.89869288578461,17.677649623698194,-0.023334274933801503,3.488841878940869e+16
GW241114_235258,11.3,7.7,18.2,0.06,0.6864451047798227,12.983054926859811,17.78282640156969,-0.02292162628737966,3.3801813202127744e+16
GW240922_142106,11.5,7.8,18.4,0.07,0.6893000673884699,13.21294205065972,18.069206379572357,-0.017977914153676174,3.255271068654388e+16
GW240915_105151,11.6,7.5,18.5,0.07,0.6845557216517861,13.06613232422592,17.886357560431442,-0.03316986159830043,3.288090724634766e+16
GW240520_213616,11.4,8.0,18.7,0.0,0.6695608020311445,13.28546437970024,18.159482322419766,-0.02890468864065418,3.0569840844696016e+16
GW241231_054133,12.4,7.1,18.7,0.08,0.6738510743483069,13.390892063428462,18.29066141735469,-0.021889763777823958,3.032174333433281e+16
GW240830_211120,11.9,7.8,18.9,0.07,0.6859637100602123,13.523605305811959,18.455694880678696,-0.023508207371497516,3.029905829822049e+16
GW240627_131622,13.2,6.7,19.3,0.0,0.6269097377815791,13.720548859072629,18.700406799033384,-0.031067005231430894,2.594357450936406e+16
GW241225_042553,12.4,8.1,19.6,0.12,0.7023047210100247,14.138347115195046,19.21879176322957,-0.019449399835226016,2.8028565431234224e+16
GW240512_024139,12.6,8.0,19.7,0.14,0.7062555540420618,14.219366309317781,19.319201314816446,-0.019329882496627055,2.7867467574387892e+16
GW241009_084816,12.7,8.1,20.1,-0.05,0.6425220451746683,14.372686422713201,19.50911512750996,-0.029397257337812944,2.374899376843866e+16
GW240825_055146,13.2,7.9,20.3,0.07,0.6758537404025413,14.614012773213684,19.807777658344705,-0.024247405992871722,2.4300056953093464e+16
GW250119_190238,11.54,9.95,20.56,0.09,0.7112478106669958,14.873916495643183,20.129079482448294,-0.020959169141619896,2.5093782867894484e+16
GW240530_012417,14.1,8.3,21.6,0.04,0.6633311119312608,15.6225501171328,21.052601198758214,-0.025342537094527173,2.008957009937545e+16
GW240526_093944,14.5,8.4,22.1,0.22,0.7244961732704296,16.01366454425468,21.53397007483112,-0.025612213808546627,2.1470463165697356e+16
GW241110_124123,16.4,8.0,23.7,-0.31,0.5002101743988732,17.22095119388194,23.015336728521973,-0.028888745631984233,1.2654910317192664e+16
GW241011_233834,19.5,5.96,24.4,0.5,0.7700678917283855,18.197511163899065,24.208934234500703,-0.007830564159807213,1.751675048087484e+16
GW240622_004008,18.6,11.3,28.7,0.25,0.73944904877143,21.503646936958475,28.222740850375132,-0.01662923866288736,1.0937005369109652e+16
GW241113_163507,19.3,14.4,31.7,0.5,0.8329325278171107,24.4933396220576,31.821606895440038,0.0038361796668781845,1.02401697970354e+16
GW240531_040326,19.5,14.3,32.3,0.14,0.7183260542313074,24.575846859912836,31.92056203707814,-0.011747305353617815,7661701618126746.0
GW240428_225440,19.8,14.7,33.0,0.03,0.6840599721235222,25.13428927259266,32.58985099812908,-0.01242875763245212,6826971178599301.0
GW240930_035959,25.5,11.2,35.5,-0.05,0.580577311974218,27.04388842354024,34.872451486540164,-0.017677422914361564,4988085900199376.0
GW240527_230910,27.6,10.0,36.4,-0.03,0.5478049710069688,27.850898858089128,35.834437679842836,-0.015537426377944037,4484317366932671.0
GW240920_073424,24.7,13.4,36.7,-0.09,0.6046763310932982,28.102184860736433,36.13367298653434,-0.015431253772906264,4717288896837574.0
GW240507_041632,31.3,8.5,38.9,0.01,0.5000828462961716,29.77938810359928,38.127337553656524,-0.019862787823739708,3698838074688430.5
GW240513_183302,24.4,16.9,39.4,0.14,0.7140520146093655,30.630223757040646,39.13643330041445,-0.006689510141765125,4600369337663615.0
GW240902_143306,24.4,18.3,40.8,-0.03,0.6656660150038588,31.75253297052724,40.46527551595619,-0.008204031471661856,3906204599448921.0
