event,m1,m2,Mf,chi_eff,chi_f,Cf,pred,dev,rho,M_rd,M_outside_choke,R_out_km,rs_km,dM,frac_out
GW230811_032116,35.4,22.3,55.3,0.03,0.6681878451233262,44.12358092732516,54.97324932342496,-0.0059086921622972,1895764012889331.2,55.3,0.0,161.5275633871229,163.35662782795777,0.0,0.0
GW230930_110730,34.5,24.4,56.3,0.02,0.676790325371004,45.085917979945776,56.09277289213236,-0.0036807656814855,1825939665877239.2,56.3,0.0,161.57448510211228,166.31063556444886,0.0,0.0
GW230628_231200,32.5,27.0,56.4,-0.01,0.67866365696036,45.55237577130853,56.63501814024395,0.0041669883021977,1762593924824804.8,56.4,0.0,159.65276794741982,166.606036338098,0.0,0.0
GW230702_185453,40.0,18.0,57.0,0.05,0.6256621176990206,44.51669798796553,55.43071415743489,-0.0275313305713176,1810433721510407.5,56.99999999999999,9.057377124007997e-15,168.0235020049667,168.37844097999266,1.246566203087895e-16,1.5890135305277188e-16
GW230609_064958,35.4,25.2,58.0,-0.14,0.625287504320236,46.49707127722817,57.73241499739748,-0.0046135345276297,1582236097152108.5,58.0,0.0,162.84215730359733,171.33244871648373,0.0,0.0
GW230814_230901,33.7,28.2,59.0,-0.01,0.6790245557926518,47.5469034633338,58.95073491020327,-0.0008350015219785,1621991879821083.0,58.99999999999999,0.0,162.49053140567648,174.28645645297482,1.2043097216272884e-16,0.0
GW230927_043729,35.0,27.1,59.0,0.01,0.6807450808202368,47.72645180847927,59.15897425880515,0.0026944789627991,1601285311727343.8,58.99999999999999,0.0,161.59687726711655,174.28645645297482,1.2043097216272884e-16,0.0
GW231213_111417,35.6,27.2,59.6,0.06,0.6956742617983607,48.31230755700585,59.83819794138494,0.0039966097547808,1594440163180933.2,59.60000000000001,0.0,161.62821037655587,176.05886109486948,-1.1921857982552017e-16,0.0
GW230726_002940,35.6,27.9,60.6,-0.02,0.6720804483036129,48.89075334828118,60.508461175796654,-0.0015105416535205,1510918430434503.0,60.6,0.0,163.62490972926486,179.01286883136063,0.0,0.0
GW231206_233134,35.6,28.2,60.6,-0.08,0.6538570141946962,49.13893896424874,60.7959304843839,0.0032331763099653,1437619891963453.8,60.6,0.0,162.42224642673875,179.01286883136063,0.0,0.0
GW230606_004305,37.6,25.7,60.8,-0.11,0.6306863397469549,48.75713269914888,60.35366305744871,-0.0073410681340672,1445296934678005.2,60.8,0.0,165.22308040005112,179.6036703786588,0.0,0.0
GW231113_122623,39.8,26.4,63.0,0.33,0.7730234046615082,51.188662434669226,63.16760506778253,0.00266039790131,1643810954928273.2,63.0,0.0,164.00234828592747,186.10248739893925,0.0,0.0
GW231206_233901,37.6,28.5,63.1,-0.05,0.6601174332313459,51.0684365262246,63.0286153219962,-0.0011312944216133,1346792487257654.5,63.1,0.0,165.0250952533978,186.39788817258835,0.0,0.0
GW230922_020344,39.3,29.2,65.4,0.03,0.6841197385848624,53.08154606208867,65.35400741690707,-0.0007032505060082,1284914459259440.0,65.4,0.0,166.28320105918726,193.1921059665179,0.0,0.0
GW231129_081745,45.0,23.8,66.0,0.03,0.6446532649666135,53.45996550813459,65.79068486731016,-0.0031714414043914,1195987003202609.2,66.0,0.0,167.26647141177602,194.96451060841252,0.0,0.0
