CVnIdwA  Data  2.437499  23.774862  0.077949  0.166983 0.114827
CVnIdwA  Data  2.437499  23.774862  0.151795  0.257415 0.095479
CVnIdwA  Data  2.437499  23.774862  0.229744  0.317142 0.086646
CVnIdwA  Data  2.437499  23.774862  0.303590  0.380234 0.075290
CVnIdwA  Data  2.437499  23.774862  0.381539  0.429445 0.076972
CVnIdwA  Data  2.437499  23.774862  0.455385  0.505155 0.067719
CVnIdwA  Data  2.437499  23.774862  0.533334  0.572453 0.068560
CVnIdwA  Data  2.437499  23.774862  0.607180  0.728501 0.070663
CVnIdwA  Data  2.437499  23.774862  0.685128  0.890857 0.071504
CVnIdwA  Data  2.437499  23.774862  0.758975  1.011993 0.092535
CVnIdwA  Data  2.437499  23.774862  0.836923  1.112520 0.113986
CVnIdwA  Data  2.437499  23.774862  0.910770  1.090227 0.083281
CVnIdwA  Data  2.437499  23.774862  0.988718  1.001478 0.104312
CVnIdwA  Data  2.437499  23.774862  1.062564  0.991804 0.086646
CVnIdwA  Model 2.960000  25.658800  0.064189  0.116692 0.106396
CVnIdwA  Model 2.960000  25.658800  0.125000  0.223646 0.088469
CVnIdwA  Model 2.960000  25.658800  0.189189  0.329680 0.080284
CVnIdwA  Model 2.960000  25.658800  0.250000  0.421816 0.069762
CVnIdwA  Model 2.960000  25.658800  0.314189  0.509467 0.071321
CVnIdwA  Model 2.960000  25.658800  0.375000  0.583453 0.062747
CVnIdwA  Model 2.960000  25.658800  0.439189  0.652591 0.063526
CVnIdwA  Model 2.960000  25.658800  0.500000  0.710415 0.065475
CVnIdwA  Model 2.960000  25.658800  0.564189  0.764307 0.066254
CVnIdwA  Model 2.960000  25.658800  0.625000  0.809453 0.085741
CVnIdwA  Model 2.960000  25.658800  0.689189  0.851723 0.105617
CVnIdwA  Model 2.960000  25.658800  0.750000  0.887364 0.077167
CVnIdwA  Model 2.960000  25.658800  0.814189  0.920982 0.096653
CVnIdwA  Model 2.960000  25.658800  0.875000  0.949553 0.080284
CVnIdwA  Model 2.960000  25.658800  0.939189  0.976721 0.075608
CVnIdwA  Model 2.960000  25.658800  1.000000  1.000000 0.065864
DDO_210  Data  0.310000  12.020000  0.129032  0.222962 0.069884
DDO_210  Data  0.310000  12.020000  0.258065  0.346090 0.060732
DDO_210  Data  0.310000  12.020000  0.387097  0.480865 0.058236
DDO_210  Data  0.310000  12.020000  0.516129  0.584027 0.050749
DDO_210  Data  0.310000  12.020000  0.645161  0.659734 0.056572
DDO_210  Data  0.310000  12.020000  0.774194  0.774542 0.054908
DDO_210  Data  0.310000  12.020000  0.870968  0.863561 0.062396
DDO_210  Data  0.310000  12.020000  1.000000  1.000000 0.073211
DDO_210  Model 0.310000  11.311600  0.129032  0.172458 0.074260
DDO_210  Model 0.310000  11.311600  0.258065  0.337575 0.064536
DDO_210  Model 0.310000  11.311600  0.387097  0.489787 0.061883
DDO_210  Model 0.310000  11.311600  0.516129  0.626129 0.053927
DDO_210  Model 0.310000  11.311600  0.645161  0.745957 0.060115
DDO_210  Model 0.310000  11.311600  0.774194  0.850159 0.058347
DDO_210  Model 0.310000  11.311600  0.870968  0.919030 0.066304
DDO_210  Model 0.310000  11.311600  1.000000  1.000000 0.077796
DDO_216  Data  0.485115  13.560367  0.185523  0.238194 0.296452
DDO_216  Data  0.485115  13.560367  0.350433  0.622402 0.202797
DDO_216  Data  0.485115  13.560367  0.535956  0.715320 0.189523
DDO_216  Data  0.485115  13.560367  0.700865  0.862071 0.171824
DDO_216  Data  0.485115  13.560367  0.886389  0.947615 0.141589
DDO_216  Data  0.485115  13.560367  1.071912  0.925491 0.146751
DDO_216  Data  0.485115  13.560367  1.236821  0.966788 0.178461
DDO_216  Data  0.485115  13.560367  1.422344  0.992599 0.188048
DDO_216  Data  0.485115  13.560367  1.587254  1.050119 0.184361
DDO_216  Data  0.485115  13.560367  1.772777  1.067818 0.185098
DDO_216  Data  0.485115  13.560367  1.937687  1.125338 0.177724
DDO_216  Data  0.485115  13.560367  2.123210  1.221206 0.233769
DDO_216  Data  0.485115  13.560367  2.308733  1.394505 0.241144
DDO_216  Model 0.484970  13.137949  0.185579  0.331524 0.305984
