Name,Type,survey,inc,Rad,g_obs,g_bar,shared,locked
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,0.1242562965117688,1.2434803665461616e-11,5.1279597909564677e-14,0.0,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,0.3727688895353065,2.7253710961758548e-11,6.046412387184628e-12,0.738440145813856,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,0.7455377790706131,5.854453132691506e-11,1.1989626535593867e-11,0.6905789768683873,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,1.1183066686059195,8.305339820847386e-11,1.704932551829038e-11,0.6379934312275835,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,1.3668192616294572,1.1433721541882616e-10,1.9988488865153812e-11,0.60430834226572,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,1.615331854652995,1.2641803564288746e-10,2.2628222579417124e-11,0.5833932684366885,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,1.9881007441883016,1.2267911979067343e-10,2.5929694026378663e-11,0.5381252926052053,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,2.360869633723608,1.0465515774809789e-10,2.8850743314307412e-11,0.5026789258597026,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,2.6093822267471456,9.52331201651958e-11,2.9870258928440906e-11,0.4829371615151282,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,2.8578948197706837,8.465976861409487e-11,3.102946627735126e-11,0.4589832287147177,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,3.106407412794221,8.647397922048193e-11,3.27545344600817e-11,0.4199951355326269,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,3.479176302329528,8.482991556054679e-11,3.257238507647596e-11,0.4035426904760543,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,3.8519451918648335,7.508872855082983e-11,3.15681030318443e-11,0.3842138296776006,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,4.100457784888372,7.121928793896625e-11,3.4062237218715325e-11,0.3099614867240358,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,4.351952529028193,7.177995089781979e-11,2.7986600034570647e-11,0.3519213364021423,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,4.724721418563499,5.5964975146732686e-11,2.6553043743248128e-11,0.3609637541695292,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,5.097490308098806,4.7178348155896864e-11,2.772591747795921e-11,0.3119454999178693,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,5.346002901122343,4.6245632014527476e-11,2.567593064154408e-11,0.221405044549794,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,5.594515494145881,3.915245928882418e-11,2.6101558633249058e-11,0.2825022588569043,0.0
2MASSJ00385299-5529210,Sc,SCII,64.84592369721855,5.967284383681188,4.512078078483022e-11,2.656184604466848e-11,0.1984576189269023,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,0.7168485317431459,5.1180831728288365e-11,1.019330620147604e-11,0.748601170517907,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,1.075272797614719,7.161492441756527e-11,1.5350291201970985e-11,0.6951619216101886,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,1.4336970634862918,8.570852778187104e-11,2.0137249689491905e-11,0.6484402005453638,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,1.7921213293578648,9.430523421973379e-11,2.47658829502116e-11,0.5776111895966737,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,2.150545595229437,9.723010482657896e-11,2.8710963220784755e-11,0.5369616945585609,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,2.5089698611010105,9.928805269768869e-11,3.1951292415200936e-11,0.5257436807028391,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,2.867394126972584,9.784406103844448e-11,3.322161025723895e-11,0.4604010910762125,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,3.2258183928441566,9.359136548836627e-11,3.550764474173707e-11,0.4461255293039242,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,3.698866943171809,8.728986951333399e-11,3.3094152385674045e-11,0.4664204431484366,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,4.186466906002796,8.704045692087864e-11,3.220685938782232e-11,0.3990888847071139,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,4.659515456330449,7.440884268161839e-11,3.4190638876591975e-11,0.2849277093637079,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,5.017939722202022,6.795035224633943e-11,2.8441639555796002e-11,0.4121853752637209,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,5.376363988073594,6.542353917991786e-11,3.218171673275759e-11,0.3534846045802139,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,5.734788253945167,6.082139262566933e-11,3.5693970232910666e-11,0.2502744829321754,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,6.09321251981674,4.6392609911692946e-11,2.4281936035278625e-11,0.3769746708468118,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,6.451636785688313,4.16808013365889e-11,2.957685070696064e-11,0.2815526955574224,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,6.824612464063219,3.9960000347822666e-11,2.5547989981334183e-11,0.2225687955054412,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,7.183036729934792,3.5985290890063547e-11,2.2889210778088808e-11,0.3235546962337671,0.0
2MASSJ10574998+0138550,Sc,SCII,59.51431456962083,7.720673128742152,2.781343848881321e-11,2.5848730349772514e-11,0.2234551377510703,0.0
2MASSJ11000107+0137314,Scd,SCII,61.33354915818762,0.774100792669624,4.616663340238287e-11,6.1728534384716265e-12,0.7888547940026703,0.0
