UGC  528  1.49 0.01  25.5  0.2  65   5 25 r
UGC  528  1.53 0.02  26.1  0.3  71   7 25 a
UGC  528  1.53 0.01  26.1  0.2  76   7 25 r
UGC  528  1.56 0.01  26.7  0.2  61   7 25 r
UGC  528  1.58 0.01  27.0  0.3  81   5 25 a
UGC  528  1.60 0.01  27.3  0.2  63   6 25 r
UGC  528  1.65 0.01  28.1  0.2  62   8 25 r
UGC  528  1.66 0.03  28.3  0.5  74   7 25 a
UGC  528  1.71 0.02  29.1  0.3  62   7 25 r
UGC  528  1.77 0.02  30.2  0.3  81   7 25 r
UGC  528  1.79 0.05  30.5  0.8  83   8 19 a
UGC  528  1.85 0.03  31.5  0.5  66   7 25 r
UGC  528  1.95 0.05  33.3  0.8  61  12 15 r
UGC  763  0.30 0.03   4.9  0.6  37   4  2 r
UGC  763  0.32 0.00   5.3  0.0  15  17  1 a
UGC  763  0.46 0.02   7.4  0.3  35  13  2 r
UGC  763  0.53 0.02   8.7  0.3  44  21  3 r
UGC  763  0.67 0.04  10.8  0.6  39   1  2 a
UGC  763  0.68 0.02  11.1  0.4  43   7  6 r
UGC  763  0.79 0.00  12.9  0.0  89  17  1 a
UGC  763  0.84 0.02  13.6  0.3  44   5  3 r
UGC  763  0.89 0.01  14.5  0.2  36   5  4 a
UGC  763  0.90 0.02  14.6  0.4  36  12  7 r
UGC  763  1.04 0.00  16.8  0.1  35  17  3 a
UGC  763  1.05 0.04  17.0  0.6  63   7  4 r
UGC  763  1.29 0.14  20.9  2.3  49   5 23 r
UGC  763  1.32 0.12  21.5  2.0  45   4 23 a
UGC  763  1.65 0.07  26.8  1.2  60   3 23 a
UGC  763  1.67 0.09  27.2  1.5  54   3 23 r
UGC  763  1.84 0.05  29.9  0.8  69   3 23 a
UGC  763  1.99 0.03  32.3  0.6  66   3 23 a
UGC  763  2.01 0.10  32.7  1.7  61   3 23 r
UGC  763  2.10 0.04  34.1  0.6  64   3 23 a
UGC  763  2.20 0.03  35.7  0.4  63   2 23 a
UGC  763  2.27 0.06  36.9  0.9  73   3 23 r
UGC  763  2.27 0.02  36.9  0.3  73   2 23 a
UGC  763  2.35 0.03  38.1  0.4  80   3 23 a
UGC  763  2.41 0.02  39.2  0.3  73   3 23 a
UGC  763  2.44 0.04  39.6  0.7  77   3 23 r
UGC  763  2.49 0.03  40.5  0.4  76   3 23 a
UGC  763  2.56 0.02  41.6  0.3  82   3 23 a
UGC  763  2.62 0.02  42.5  0.3  78   3 23 a
UGC  763  2.63 0.07  42.8  1.1  75   3 23 r
UGC  763  2.68 0.02  43.5  0.3  83   2 23 a
UGC  763  2.73 0.01  44.3  0.2  82   3 23 a
UGC  763  2.77 0.01  44.9  0.2  82   3 23 a
UGC  763  2.81 0.01  45.6  0.2  86   2 23 a
UGC  763  2.82 0.05  45.7  0.8  83   3 23 r
UGC  763  2.85 0.01  46.2  0.2  81   2 23 a
UGC  763  2.89 0.01  47.0  0.1  81   3 23 a
UGC  763  2.93 0.01  47.6  0.2  84   2 23 a
UGC  763  2.95 0.03  47.9  0.6  79   2 23 r
UGC  763  2.97 0.01  48.2  0.2  82   3 23 a
UGC  763  3.00 0.01  48.8  0.2  79   2 23 a
UGC  763  3.04 0.01  49.3  0.2  82   3 23 a
UGC  763  3.06 0.04  49.6  0.6  86   2 23 r
UGC  763  3.08 0.01  50.0  0.2  81   2 23 a
UGC  763  3.12 0.02  50.7  0.2  86   2 23 a
UGC  763  3.17 0.01  51.5  0.2  79   4 23 a
UGC  763  3.21 0.01  52.2  0.2  84   2 23 a
UGC  763  3.22 0.07  52.2  1.1  92   3 23 r
