gal,lamR,FS,logsig,logML_JAM,q,logL,fDM,logML_star,A,logMs,slow
NGC5507,0.495,F,2.216,0.825,3.0,9.904,0.17,0.708,0.11699999999999999,10.612,0.0
NGC5557,0.049,S,2.306,0.662,1.0,10.671,0.01,0.659,0.0030000000000000027,11.33,1.0
NGC5576,0.102,S,2.191,0.453,2.0,10.426,0.0,0.454,-0.0010000000000000009,10.88,1.0
NGC5582,0.564,F,2.17,0.722,1.0,10.14,0.37,0.599,0.123,10.739,0.0
NGC5611,0.691,F,2.138,0.697,3.0,9.652,0.06,0.651,0.04599999999999993,10.302999999999999,0.0
NGC5687,0.479,F,2.216,0.907,1.0,10.064,0.12,0.864,0.04300000000000004,10.928,0.0
NGC5838,0.521,F,2.35,0.9,3.0,10.257,0.0,0.901,-0.0010000000000000009,11.158,0.0
NGC5845,0.404,F,2.357,0.695,3.0,9.792,0.0,0.695,0.0,10.487,0.0
NGC5846,0.032,S,2.349,0.908,1.0,10.665,0.14,0.844,0.06400000000000006,11.508999999999999,1.0
NGC5854,0.678,F,2.02,0.421,3.0,10.025,0.12,0.356,0.065,10.381,0.0
NGC5864,0.603,F,2.035,0.57,3.0,10.136,0.0,0.57,0.0,10.706,0.0
NGC5869,0.428,F,2.224,0.849,1.0,10.033,0.24,0.75,0.09899999999999998,10.783,0.0
NGC6010,0.679,F,2.202,0.772,1.0,10.045,0.17,0.685,0.08699999999999997,10.73,0.0
NGC6017,0.429,F,2.051,0.447,1.0,9.734,0.0,0.447,0.0,10.181,0.0
NGC6547,0.632,F,2.257,0.824,1.0,10.091,0.12,0.74,0.08399999999999996,10.831,0.0
NGC6548,0.326,F,2.153,0.867,1.0,10.001,0.2,0.768,0.09899999999999998,10.769,0.0
NGC6703,0.041,S,2.178,0.776,1.0,10.2,0.0,0.775,0.0010000000000000009,10.975,1.0
NGC6798,0.483,F,2.114,0.66,2.0,10.028,0.16,0.564,0.09600000000000009,10.592,0.0
NGC7280,0.557,F,2.024,0.545,1.0,9.853,0.36,0.406,0.139,10.259,0.0
NGC7332,0.561,F,2.097,0.336,1.0,10.201,0.07,0.288,0.04800000000000004,10.489,0.0
NGC7457,0.519,F,1.873,0.482,1.0,9.736,0.45,0.238,0.244,9.974,0.0
NGC7693,0.616,F,1.763,0.588,1.0,9.409,0.0,0.586,0.0020000000000000018,9.995000000000001,0.0
NGC7710,0.34,F,1.957,0.536,1.0,9.523,0.0,0.537,-0.0010000000000000009,10.06,0.0
PGC016060,0.759,F,2.043,0.651,2.0,9.795,0.0,0.651,0.0,10.446,0.0
PGC035754,0.21,F,2.015,0.578,1.0,9.658,0.0,0.577,0.0010000000000000009,10.235,0.0
PGC042549,0.673,F,2.009,0.5,1.0,9.806,0.14,0.422,0.07800000000000001,10.228,0.0
PGC044433,0.357,F,2.087,0.79,1.0,9.643,0.1,0.688,0.10200000000000009,10.331000000000001,0.0
PGC051753,0.587,F,1.949,0.686,1.0,9.535,0.15,0.584,0.10200000000000009,10.119,0.0
PGC054452,0.416,F,1.803,0.562,1.0,9.429,0.28,0.411,0.15100000000000008,9.84,0.0
PGC056772,0.31,F,1.932,0.621,1.0,9.623,0.0,0.62,0.0010000000000000009,10.242999999999999,0.0
UGC04551,0.277,F,2.219,0.687,2.0,9.878,0.04,0.658,0.029000000000000026,10.536,0.0
UGC06062,0.475,F,2.125,0.764,1.0,9.864,0.25,0.629,0.135,10.493,0.0
UGC08876,0.341,F,2.105,0.759,1.0,9.686,0.0,0.76,-0.0010000000000000009,10.446,0.0
UGC09519,0.632,F,2.001,0.559,1.0,9.504,0.1,0.513,0.04600000000000004,10.017,0.0
