gal,lamR,FS,logsig,logML_JAM,q,logL,fDM,logML_star,A,logMs,slow,logML_Salp,C,logMs_pop,BV
NGC4570,0.603,F,2.223,0.689,3.0,10.073,0.15,0.574,0.1149999999999999,10.647,0.0,0.82,-0.131,10.893,0.9200000166893005
NGC4578,0.596,F,2.028,0.64,1.0,9.811,0.38,0.514,0.126,10.325,0.0,0.739,-0.09899999999999998,10.55,0.8399999737739563
NGC4596,0.297,F,2.099,0.677,2.0,10.237,0.18,0.638,0.039,10.875,0.0,0.776,-0.09899999999999998,11.013,0.9200000166893005
NGC4608,0.203,F,2.04,0.633,2.0,9.985,0.0,0.633,0.0,10.618,0.0,0.766,-0.133,10.751,0.949999988079071
NGC4621,0.291,F,2.296,0.765,3.0,10.354,0.03,0.759,0.006,11.113,0.0,0.846,-0.08099999999999996,11.2,0.9200000166893005
NGC4638,0.691,F,2.134,0.469,3.0,9.939,0.05,0.433,0.0359999999999999,10.372,0.0,0.703,-0.23399999999999999,10.642,0.9200000166893005
NGC4643,0.255,F,2.171,0.682,2.0,10.21,0.14,0.635,0.047,10.845,0.0,0.755,-0.07299999999999995,10.965000000000002,0.9300000071525574
NGC4649,0.127,F,2.428,0.838,2.0,10.881,0.29,0.774,0.0639999999999999,11.655,0.0,0.871,-0.03300000000000003,11.752,0.949999988079071
NGC4660,0.553,F,2.263,0.688,2.0,9.811,0.1,0.601,0.0869999999999999,10.412,0.0,0.817,-0.129,10.628,0.9100000262260437
NGC4697,0.322,F,2.229,0.704,3.0,10.364,0.0,0.703,0.001,11.067,0.0,0.8,-0.09600000000000009,11.164000000000001,0.8899999856948853
NGC4710,0.652,F,2.02,0.647,1.0,10.114,0.0,0.645,0.002,10.759,0.0,0.587,0.06000000000000005,10.701,0.8799999952316284
NGC4753,0.467,F,2.241,0.604,1.0,10.784,0.25,0.519,0.0849999999999999,11.303,0.0,0.615,-0.01100000000000001,11.399000000000001,0.8999999761581421
NGC4754,0.467,F,2.204,0.679,2.0,10.132,0.21,0.596,0.083,10.728,0.0,0.815,-0.1359999999999999,10.947,0.8999999761581421
NGC4762,0.724,F,2.126,0.563,3.0,10.543,0.23,0.417,0.1459999999999999,10.96,0.0,0.76,-0.19700000000000006,11.302999999999999,0.8500000238418579
NGC5198,0.061,S,2.228,0.793,1.0,10.393,0.0,0.794,-0.001,11.187,1.0,0.809,-0.016000000000000014,11.202,0.9100000262260437
NGC5273,0.517,F,1.824,0.517,1.0,9.732,0.55,0.247,0.27,9.979,0.0,0.502,0.015000000000000013,10.234,0.8399999737739563
NGC5308,0.651,F,2.315,0.814,3.0,10.343,0.09,0.744,0.0699999999999999,11.087,0.0,0.79,0.02399999999999991,11.133,0.8999999761581421
NGC5322,0.073,S,2.351,0.688,1.0,10.844,0.16,0.634,0.0539999999999999,11.478,1.0,0.7,-0.01200000000000001,11.543999999999999,0.8899999856948853
NGC5353,0.618,F,2.449,0.838,2.0,10.665,0.11,0.769,0.0689999999999999,11.434,0.0,0.855,-0.017000000000000015,11.52,0.949999988079071
NGC5493,0.74,F,2.296,0.471,3.0,10.494,0.2,0.305,0.1659999999999999,10.799,0.0,0.514,-0.04300000000000004,11.008,0.8299999833106995
NGC5507,0.495,F,2.216,0.825,3.0,9.904,0.17,0.708,0.1169999999999999,10.612,0.0,0.786,0.038999999999999924,10.69,0.9399999976158142
NGC5557,0.049,S,2.306,0.662,1.0,10.671,0.01,0.659,0.003,11.33,1.0,0.774,-0.11199999999999999,11.445,0.8799999952316284
NGC5576,0.102,S,2.191,0.453,2.0,10.426,0.0,0.454,-0.001,10.88,1.0,0.705,-0.25199999999999995,11.131,0.8700000047683716
NGC5582,0.564,F,2.17,0.722,1.0,10.14,0.37,0.599,0.123,10.739,0.0,0.752,-0.030000000000000027,10.892000000000001,0.8700000047683716
NGC5687,0.479,F,2.216,0.907,1.0,10.064,0.12,0.864,0.043,10.928,0.0,0.768,0.139,10.832,0.8299999833106995
NGC5838,0.521,F,2.35,0.9,3.0,10.257,0.0,0.901,-0.001,11.158,0.0,0.834,0.06600000000000006,11.091,0.9399999976158142
NGC5845,0.404,F,2.357,0.695,3.0,9.792,0.0,0.695,0.0,10.487,0.0,0.81,-0.1150000000000001,10.602,0.9700000286102295
NGC5846,0.032,S,2.349,0.908,1.0,10.665,0.14,0.844,0.064,11.509,1.0,0.853,0.05500000000000005,11.517999999999999,0.9599999785423279
NGC5854,0.678,F,2.02,0.421,3.0,10.025,0.12,0.356,0.065,10.381,0.0,0.472,-0.05099999999999999,10.497,0.8100000023841858
NGC6548,0.326,F,2.153,0.867,1.0,10.001,0.2,0.768,0.0989999999999999,10.769,0.0,0.698,0.16900000000000004,10.699,0.8899999856948853
NGC6703,0.041,S,2.178,0.776,1.0,10.2,0.0,0.775,0.001,10.975,1.0,0.736,0.040000000000000036,10.936,0.9100000262260437
NGC7280,0.557,F,2.024,0.545,1.0,9.853,0.36,0.406,0.139,10.259,0.0,0.444,0.10100000000000003,10.297,0.8500000238418579
NGC7332,0.561,F,2.097,0.336,1.0,10.201,0.07,0.288,0.048,10.489,0.0,0.528,-0.192,10.729000000000001,0.8700000047683716
NGC7457,0.519,F,1.873,0.482,1.0,9.736,0.45,0.238,0.244,9.974,0.0,0.455,0.02699999999999997,10.191,0.8299999833106995
UGC04551,0.277,F,2.219,0.687,2.0,9.878,0.04,0.658,0.029,10.536,0.0,0.737,-0.04999999999999993,10.615,0.8999999761581421
