domain,choke_used,choke_z,choke_percentile
A1_interstellar_filament,choke_F2,0.13364462482086506,0.5328467153284672
A1_interstellar_filament,choke_F2,0.574572588654384,0.7883211678832117
A1_interstellar_filament,choke_F2,0.23384860347682804,0.5693430656934306
A1_interstellar_filament,choke_F2,1.1442633115111385,0.927007299270073
A1_interstellar_filament,choke_F2,0.044452165327284084,0.48905109489051096
A1_interstellar_filament,choke_F2,0.48323807899267646,0.6934306569343066
A1_interstellar_filament,choke_F2,0.2936672290776025,0.5912408759124088
A1_interstellar_filament,choke_F2,1.2751883991098623,0.948905109489051
A1_interstellar_filament,choke_F2,0.3072294188877149,0.5985401459854015
A1_interstellar_filament,choke_F2,0.8220914435235321,0.8759124087591241
A1_interstellar_filament,choke_F2,0.8016578032086558,0.8686131386861314
A1_interstellar_filament,choke_F2,0.7543294722359893,0.8467153284671532
A1_interstellar_filament,choke_F2,0.5939332728745474,0.8029197080291971
A1_interstellar_filament,choke_F2,-0.5819539155419203,0.1897810218978102
A1_interstellar_filament,choke_F2,0.13302278655741495,0.5255474452554745
A1_interstellar_filament,choke_F2,0.7478856001533309,0.8394160583941606
A1_interstellar_filament,choke_F2,0.508659191625944,0.7299270072992701
A1_interstellar_filament,choke_F2,-0.35628269396726403,0.291970802919708
A1_interstellar_filament,choke_F2,0.49662416589500863,0.7153284671532847
A1_interstellar_filament,choke_F2,0.13755531121114792,0.5401459854014599
A1_interstellar_filament,choke_F2,-0.33381679657168273,0.32116788321167883
A1_interstellar_filament,choke_F2,-0.18650333957964166,0.39416058394160586
A1_interstellar_filament,choke_F2,-0.6802642342251508,0.1678832116788321
A1_interstellar_filament,choke_F2,-0.10121599075936338,0.4233576642335766
A1_interstellar_filament,choke_F2,0.8754436083394128,0.8905109489051095
A1_interstellar_filament,choke_F2,-0.06070073592021674,0.45255474452554745
A1_interstellar_filament,choke_F2,-0.36024686832210984,0.2846715328467153
A1_interstellar_filament,choke_F2,0.03963213884382896,0.48175182481751827
A1_interstellar_filament,choke_F2,0.1937963338854649,0.5474452554744526
A1_interstellar_filament,choke_F2,0.20452759164510984,0.5547445255474452
A1_interstellar_filament,choke_F2,0.23199551027677617,0.5620437956204379
A1_interstellar_filament,choke_F2,-0.05290357361403062,0.46715328467153283
A1_interstellar_filament,choke_F2,-0.6168260226893936,0.18248175182481752
A1_interstellar_filament,choke_F2,-0.369564484099232,0.27007299270072993
A1_interstellar_filament,choke_F2,-0.2849097632745729,0.3357664233576642
A1_interstellar_filament,choke_F2,-0.8436361971054606,0.145985401459854
A1_interstellar_filament,choke_F2,-0.354036123323438,0.30656934306569344
A1_interstellar_filament,choke_F2,0.6617881579421994,0.8321167883211679
A1_interstellar_filament,choke_F2,0.4727498812602499,0.6788321167883211
A1_interstellar_filament,choke_F2,-0.7301496527231335,0.16058394160583941
A1_interstellar_filament,choke_F2,-0.28052202428909334,0.34306569343065696
A1_interstellar_filament,choke_F2,0.37301176107118306,0.6496350364963503
A1_interstellar_filament,choke_F2,-0.2146621451600564,0.3722627737226277
A1_interstellar_filament,choke_F2,0.25044763121535885,0.5766423357664233
A1_interstellar_filament,choke_F2,0.48821457287136893,0.708029197080292
A1_interstellar_filament,choke_F2,-0.23363707230444128,0.35766423357664234
A1_interstellar_filament,choke_F2,0.4875820512110015,0.7007299270072993
A1_interstellar_filament,choke_F2,-0.09395150753626218,0.4306569343065693
A1_interstellar_filament,choke_F2,-0.5810619520188866,0.19708029197080293
A1_interstellar_filament,choke_F2,-0.3542029620753912,0.29927007299270075
A1_interstellar_filament,choke_F2,-0.862543876114633,0.1386861313868613
A1_interstellar_filament,choke_F2,-0.1994693022000087,0.38686131386861317
A1_interstellar_filament,choke_F2,-0.28762831874847533,0.3284671532846715
A1_interstellar_filament,choke_F2,-0.0828131025672811,0.44525547445255476
A1_interstellar_filament,choke_F2,0.337345289910924,0.6277372262773723
A1_interstellar_filament,choke_F2,0.5517254947834882,0.7664233576642335
A1_interstellar_filament,choke_F2,0.6357600112173133,0.8175182481751825
A1_interstellar_filament,choke_F2,0.640067918950804,0.8248175182481752
A1_interstellar_filament,choke_F2,-0.15083209444448076,0.40875912408759124
A1_interstellar_filament,choke_F2,-1.4368887963485326,0.043795620437956206
A1_interstellar_filament,choke_F2,-1.1846357233014142,0.08029197080291971
A1_interstellar_filament,choke_F2,-0.9283841364221755,0.12408759124087591
