ID,GLON,GLAT,Dist,Rgc,Z,Mass,Mline,nH2,NH2,Tmin,Tmax,fA,fL,Lsumw,DGMF,Vgrad,Morph,feed_proxy,smoothing_proxy,density_proxy,ambient_resistance_proxy,choke_F1,choke_F2
58.0,33.63,-0.01,6.5,4.6,12.5,92.8,1485.7,2.5,2.4,10.4,27.3,13.9,6.21,16.0,0.36,0.32,L  ,0.36,5.224940191045253,2.5,0.24718479909609437,0.06890031021158574,3.641000592638062
60.0,35.56,0.02,10.4,6.1,11.1,115.8,1491.5,0.8,1.3,14.7,28.0,4.68,2.48,11.1,0.41,0.6,"L,X",0.41,5.291502622129181,0.8,0.16253577577031394,0.07748271696689157,2.01801725463513
62.0,41.16,-0.21,8.9,6.1,-20.1,64.1,1138.0,2.3,2.0,16.6,27.9,9.16,8.32,15.9,0.29,0.47,S  ,0.29,5.282045058497703,2.3,0.15307042905908375,0.05490297731054959,4.357471290176787
64.0,48.6,0.03,10.8,8.2,17.6,75.1,2069.3,0.8,1.6,17.3,34.3,4.12,1.9,4.4,0.42,0.19,C  ,0.42,5.856620185738529,0.8,0.08541867919306947,0.07171371656006362,3.9335658567202674
65.0,49.02,-0.29,5.3,6.3,-7.6,69.9,844.2,1.6,1.4,14.6,29.0,5.16,2.47,22.7,0.49,0.41,X  ,0.49,5.385164807134504,1.6,0.15713237646991418,0.09099071570675542,4.989423679658476
67.0,49.38,-0.27,5.3,6.3,-6.3,47.0,1841.2,2.8,2.8,15.8,30.0,3.93,2.34,6.2,0.46,0.42,S  ,0.46,5.477225575051661,2.8,0.1585001086779083,0.08398412548412547,8.126177393463964
68.0,53.18,0.06,4.0,6.8,25.5,6.1,369.2,3.5,1.4,12.8,21.8,11.06,6.34,10.1,0.36,0.36,L  ,0.36,4.669047011971501,3.5,0.12089206662146643,0.07710352863806147,10.422520147209278
69.0,54.11,-0.07,4.0,6.8,16.4,7.0,445.7,3.6,1.6,15.2,33.4,6.28,2.32,8.8,0.41,0.43,X  ,0.41,5.779273310719955,3.6,0.12845322146823027,0.07094317537111323,11.490564293594241
70.0,59.59,-0.21,2.2,7.5,15.6,1.7,162.0,3.3,0.9,15.3,20.8,3.13,2.67,9.2,0.37,0.39,S  ,0.37,4.560701700396552,3.3,0.10573100035649889,0.0811278667859002,11.548174101097016
71.0,354.64,0.49,4.4,4.0,53.1,31.8,941.8,2.4,1.8,11.8,25.6,3.62,2.65,10.6,0.43,0.31,S  ,0.43,5.059644256269407,2.4,0.22383252951118285,0.08498621211702519,4.6105899006446265
72.0,354.18,-0.05,11.4,3.3,-10.2,63.0,1392.5,1.3,1.6,13.6,40.2,5.87,2.51,8.5,0.29,0.19,S  ,0.29,6.340346993658944,1.3,0.36390692563125604,0.04573882159604709,1.0359791843643313
74.0,352.61,-0.2,7.6,1.3,-18.6,44.9,2063.2,1.8,2.4,13.6,31.8,2.87,2.43,4.0,0.47,0.17,"X,H",0.47,5.639148871948674,1.8,0.609309718594759,0.08334591100049926,1.3884564355072422
76.0,353.4,-0.09,10.2,2.2,-12.4,131.8,5257.9,1.8,3.8,15.7,37.4,4.57,2.27,2.9,0.51,0.56,X  ,0.51,6.115553940568262,1.8,0.4910358717815224,0.0833939173713854,1.8695171834787003
77.0,353.56,-0.05,10.2,2.2,-5.4,108.9,2348.5,2.0,2.7,16.6,32.6,3.11,2.06,8.4,0.35,0.22,"C,X",0.35,5.709640969448079,2.0,0.5144939778830269,0.061299826359105136,1.3605601427644871
78.0,351.59,0.17,11.5,3.5,35.1,154.5,3173.0,1.2,2.4,20.9,36.5,9.2,4.26,5.9,0.47,0.22,S  ,0.47,6.041522986797286,1.2,0.2911257425960852,0.07779495352862258,1.9373072094916284
79.0,351.94,0.68,1.3,7.0,37.6,3.7,207.9,12.4,2.0,12.3,27.4,4.53,3.06,26.8,0.29,1.03,S  ,0.29,5.2345009313209605,12.4,0.1053289818290023,0.055401652192813074,34.14065091636386
81.0,350.19,0.08,10.5,2.7,16.4,525.0,3552.9,1.3,2.6,13.2,28.7,5.65,2.57,17.4,0.52,0.26,"C,X",0.52,5.357238094391549,1.3,0.4144670069659499,0.09706494108305247,1.631010402851043
82.0,349.87,0.1,10.7,2.9,21.4,174.2,3300.5,0.6,1.8,14.3,22.3,5.42,3.11,4.6,0.29,0.09,C  ,0.29,4.722287581247038,0.6,0.37861398762357956,0.06141091473370587,0.4595709764769491
83.0,349.3,0.16,10.5,2.8,31.5,118.2,3277.0,1.9,3.1,13.6,20.0,6.3,4.11,5.4,0.33,0.12,S  ,0.33,4.47213595499958,1.9,0.3642189795715233,0.07379024325749306,1.7214918364156067
84.0,349.12,0.1,10.5,2.8,20.2,301.3,4878.1,1.2,3.0,16.0,26.7,3.61,2.68,6.0,0.38,0.25,X  ,0.38,5.167204273105526,1.2,0.392716749299445,0.07354073497303744,1.1611422248056493
85.0,349.14,0.01,19.7,11.6,-14.4,427.8,7324.3,0.7,2.9,18.6,26.4,4.56,2.44,3.7,0.38,0.19,S  ,0.38,5.138093031466052,0.7,0.03303176138141441,0.07395739969534468,8.052855460189509
86.0,348.94,0.11,10.5,2.8,23.3,88.5,2152.1,2.2,2.7,16.1,19.9,3.49,3.08,8.2,0.26,0.17,C  ,0.26,4.460941604639093,2.2,0.3846838952142048,0.058283659156088644,1.4869351358769294
87.0,347.89,0.03,12.9,5.0,3.3,118.4,1906.5,0.8,1.5,16.3,30.2,9.12,4.44,8.0,0.31,0.06,"L,C",0.31,5.495452665613635,0.8,0.23443628621906887,0.05641027570663002,1.057856716635822
88.0,347.69,0.24,9.8,2.4,44.8,106.6,2972.1,2.1,3.1,10.3,21.6,3.41,2.1,5.9,0.27,0.22,C  ,0.27,4.6475800154489,2.1,0.37367047517040436,0.05809475019311126,1.5173797173604149
89.0,347.62,0.2,9.8,2.4,38.5,135.7,2604.9,0.9,1.9,17.9,39.3,4.77,2.9,6.1,0.54,0.25,C  ,0.54,6.268971207462991,0.9,0.3896988754273889,0.08613853567506402,1.2471167628261595
90.0,347.91,-0.37,6.9,2.2,-34.4,43.6,1187.3,1.4,1.6,10.9,23.8,3.92,1.76,7.9,0.48,0.27,C  ,0.48,4.878524367060187,1.4,0.4240496371277071,0.09839040740289452,1.5847201392548766
91.0,350.51,-0.37,3.3,5.1,-3.3,8.3,586.1,6.8,2.4,12.3,20.4,4.36,1.86,9.4,0.36,0.3,C  ,0.36,4.516635916254486,6.8,0.22783289004833254,0.07970533969860857,10.744717321018403
92.0,349.92,-0.53,3.3,5.1,-12.5,14.5,563.5,1.8,1.3,12.9,31.3,5.26,3.25,9.2,0.43,0.96,S  ,0.43,5.594640292279746,1.8,0.21427903949059288,0.07685927558083995,3.6121125138512653
93.0,345.3,-0.17,1.4,7.0,18.0,2.6,200.3,16.0,2.2,11.2,24.1,7.96,6.02,22.6,0.2,0.68,"L,X",0.2,4.909175083453431,16.0,0.12003162851145674,0.04074004218633553,26.659639960600614
