ID,GLON,GLAT,Dist,Rgc,Z,Mass,Mline,nH2,NH2,Tmin,Tmax,fA,fL,Lsumw,DGMF,Vgrad,Morph,feed_proxy,smoothing_proxy,density_proxy,ambient_resistance_proxy,choke_F1,choke_F2
128.0,331.64,-0.07,5.3,4.5,8.6,31.8,1435.7,5.7,3.5,16.8,26.4,4.76,2.44,8.7,0.28,0.23,"S,X",0.28,5.138093031466052,5.7,0.26104887750776384,0.054494926091306614,6.113797596975048
129.0,331.69,-0.22,3.1,5.8,7.2,10.5,778.5,3.8,2.1,13.6,21.3,4.05,2.13,5.9,0.25,0.37,C  ,0.25,4.61519230368573,3.8,0.18174642054636014,0.05416892375217994,5.227063053809483
133.0,340.82,-1.01,2.4,6.1,-22.3,8.5,390.9,6.5,2.0,13.4,32.4,6.65,3.61,17.5,0.54,0.87,"S,X",0.54,5.692099788303083,6.5,0.15084177948025926,0.09486832980505139,23.269415224973237
134.0,334.64,0.43,4.0,5.0,47.7,8.9,462.2,3.1,1.5,10.1,21.1,6.92,3.92,9.8,0.45,0.3,"L,X",0.45,4.5934736311423405,3.1,0.1743707623614839,0.09796507744142433,8.000194419681772
136.0,335.34,0.42,3.8,5.1,45.5,4.4,235.3,3.9,1.2,9.7,14.5,7.98,4.81,15.1,0.15,0.15,S  ,0.15,3.8078865529319543,3.9,0.17196295720054505,0.039391929857916765,3.401895440293962
137.0,327.99,-0.07,3.1,6.0,15.7,9.0,591.0,10.7,3.1,12.7,35.4,3.56,1.61,12.8,0.25,1.44,X  ,0.25,5.9497899122574065,10.7,0.16219558113991078,0.042018290340800894,16.49243451147125
138.0,327.73,-0.38,4.2,5.3,-9.8,22.7,814.1,3.0,1.9,16.9,30.6,4.92,2.07,10.6,0.42,1.07,C  ,0.42,5.531726674375733,3.0,0.20605357985689848,0.07592566023652965,6.1149143871950855
140.0,327.15,-0.29,3.5,5.8,1.5,26.6,643.1,5.8,2.4,9.6,27.2,4.77,1.93,24.5,0.31,0.42,"C,X",0.31,5.215361924162119,5.8,0.18878568348537464,0.05943978663567121,9.524027282181557
141.0,326.98,-0.05,3.5,5.8,16.1,19.8,626.5,3.6,1.8,10.1,23.1,3.24,2.26,14.9,0.41,0.63,"C,X",0.41,4.806245936279167,3.6,0.17127647924296174,0.08530566380408909,8.617645613244079
142.0,326.8,-0.11,3.5,5.8,12.5,7.8,719.2,5.3,2.4,12.9,26.1,3.2,1.94,5.8,0.34,0.74,C  ,0.34,5.10881590977792,5.3,0.17543683937095975,0.06655162487833306,10.271502875115562
143.0,326.83,-0.55,3.5,5.8,-14.3,5.5,238.8,5.3,1.4,17.2,29.5,2.54,1.97,21.5,0.15,0.33,X  ,0.15,5.431390245600108,5.3,0.17334417837634758,0.027617238536949702,4.586251510990898
