ID,Name,RAJ2000,DEJ2000,zlambda,lambda,Ng,iLum,Y5R500,e_Y5R500,SNR,dist_to_5th_neighbor_Mpc,neighbor_density_knn,feed_proxy,lensing_tightness_tsz,ambient_smoothing_proxy,choke_L1_tsz,choke_L2_tsz
38,RMJ230800.7-015543.3,347.0030591,-1.9286827,0.3068,161.95,309,114.337,2.946024,0.850966,6.09968,246.57765395532775,6.670199928534209e-08,161.95,2.946024,6.670199928534209e-08,7152837874.603942,44166951.9889098
521,RMJ234517.1-030238.9,356.3211869,-3.0441301,0.355,100.95,207,73.199,2.69892,1.003533,4.82253,226.91972198228237,8.558216555426213e-08,100.95,2.69892,8.558216555426213e-08,3183560175.598189,31536009.66417225
314,RMJ234335.7+001951.3,355.8986243,0.3309302,0.265,78.58,151,59.693,1.399597,0.407726,6.25573,187.04617758327686,1.5281060228265216e-07,78.58,1.399597,1.5281060228265216e-07,719716633.6441141,9159030.715756098
2904,RMJ232731.9+005634.1,351.8827845,0.9428087,0.3001,52.42,115,37.987,1.900598,0.985213,5.27956,157.43904928070657,2.562492626357552e-07,52.42,1.900598,2.562492626357552e-07,388798571.1069845,7416989.147405274
68,RMJ233739.7+001616.9,354.4155373,0.2713672,0.3006,126.33,216,89.385,4.44121,0.835625,11.18705,170.63237654109548,2.012869786987108e-07,126.33,4.44121,2.012869786987108e-07,2787353970.5705433,22064070.05913515
140,RMJ234437.7+030503.6,356.1571906,3.0843212,0.3554,139.18,238,95.562,1.729363,0.845704,4.81067,233.87528553614882,7.817124121322197e-08,139.18,1.729363,7.817124121322197e-08,3079044653.819428,22122752.21884917
236,RMJ225706.2+053349.5,344.275641,5.5637527,0.1755,69.83,100,57.247,2.208663,1.006848,5.46857,243.93240736702688,6.889560122960269e-08,69.83,2.208663,6.889560122960269e-08,2238618061.7831793,32058113.443837598
264,RMJ215413.1-035953.2,328.5546364,-3.9981114,0.1501,78.16,111,47.684,2.946597,1.460565,4.75624,243.93240736702688,6.889560122960269e-08,78.16,2.946597,6.889560122960269e-08,3342826209.651297,42769014.964832366
320,RMJ221145.9-034944.5,332.941311,-3.8290287,0.4265,159.42,174,104.401,3.896354,0.64647,12.45863,418.9224034443689,1.3601889440795619e-08,159.42,3.896354,1.3601889440795619e-08,45666946300.635895,286456820.3527531
86,RMJ215608.6+012327.4,329.0357865,1.3909426,0.2174,115.48,168,75.936,3.739857,1.394439,6.76988,281.0851626410216,4.502837096521071e-08,115.48,3.739857,4.502837096521071e-08,9591257180.804365,83055569.62941086
487,RMJ213512.2-010255.8,323.8008572,-1.0488416,0.3339,124.62,213,70.018,2.269703,0.595789,8.49727,382.6313161057841,1.7850832104852155e-08,124.62,2.269703,1.7850832104852155e-08,15845221455.145306,127148302.48070377
1137,RMJ212940.0+000521.2,322.4164647,0.0892089,0.2472,60.98,105,47.481,5.653016,2.889123,4.87367,334.67069979251727,2.6677610321998722e-08,60.98,5.653016,2.6677610321998722e-08,12921731426.436586,211901138.51158723
155,RMJ213518.8+012527.0,323.8282403,1.4241695,0.2345,108.51,168,63.387,4.55388,1.113348,9.53946,344.47862328963055,2.4463194570335392e-08,108.51,4.55388,2.4463194570335392e-08,20199386363.022552,186152302.67277256
70,RMJ211849.1+003337.2,319.7044574,0.5603428,0.2647,120.29,183,83.563,1.254182,0.515869,5.04271,360.2197676335913,2.139426519183655e-08,120.29,1.254182,2.139426519183655e-08,7051681907.615414,58622345.22915798
20,RMJ212826.3+013603.1,322.1095848,1.6008717,0.3873,189.29,300,135.385,1.667071,0.475676,7.30456,460.7006632573952,1.0226887711027615e-08,189.29,1.667071,1.0226887711027615e-08,30855904406.746635,163008634.40618435
111,RMJ223423.6+055017.8,338.5984446,5.8382853,0.1522,95.35,131,63.802,2.591677,0.932318,7.23265,241.56755823764126,7.093885453544303e-08,95.35,2.591677,7.093885453544303e-08,3483512717.653676,36533956.13690274
1218,RMJ222850.0+072735.1,337.2083824,7.4597493,0.3754,92.82,143,57.232,2.504474,1.315979,4.64083,414.69430160435945,1.402218836873461e-08,92.82,2.504474,1.402218836873461e-08,16578387807.022316,178607927.24652356
1411,RMJ225019.7+105412.6,342.5821972,10.9034938,0.0913,45.86,55,33.56,3.165294,1.292519,5.49883,192.5451362276076,1.4008845387443502e-07,45.86,3.165294,1.4008845387443502e-07,1036205189.1165211,22594967.05443788
259,RMJ221345.3+063210.5,333.4388878,6.5362568,0.3916,125.4,186,83.375,3.290759,1.711963,4.81011,410.1260980692444,1.4495986687004063e-08,125.4,3.290759,1.4495986687004063e-08,28467270804.68133,227011728.9049548
1054,RMJ000810.4+020112.3,2.0433238,2.0200898,0.3704,75.79,144,50.079,1.866549,0.619039,6.1118,313.97069412189364,3.230968029148251e-08,75.79,1.866549,3.230968029148251e-08,4378432328.446569,57770580.926858015
2789,RMJ000349.7+020359.3,0.9569814,2.0664686,0.1053,38.9,53,35.427,1.042464,0.330422,5.30325,194.16777851471184,1.3660560355287565e-07,38.9,1.042464,1.3660560355287565e-07,296853485.84037906,7631195.008750103
2079,RMJ001015.3+064045.0,2.563911,6.6791556,0.2912,57.73,131,44.445,1.085367,0.415015,4.64351,209.5914777677007,1.0861233256701129e-07,57.73,1.085367,1.0861233256701129e-07,576897995.1824653,9993036.466004942
194,RMJ000920.7+064923.1,2.3360866,6.8230883,0.244,105.54,155,75.875,2.845607,1.140423,5.9049,187.04617758327686,1.5281060228265216e-07,105.54,2.845607,1.5281060228265216e-07,1965343754.2539842,18621790.35677453
209,RMJ003706.8+090924.1,9.2785056,9.1567036,0.2688,101.71,187,82.916,2.157172,0.524913,8.40089,274.9407432758586,4.811524402959116e-08,101.71,2.157172,4.811524402959116e-08,4560009380.500368,44833441.94769804
746,RMJ000620.3+105151.5,1.5845312,10.8642943,0.1741,54.39,89,46.895,2.523167,0.953684,5.89843,240.8808984763315,7.154724455666187e-08,54.39,2.523167,7.154724455666187e-08,1918103960.262462,35265746.649429336
190,RMJ233500.9+053557.0,353.7537025,5.5991741,0.1968,86.96,138,67.66,2.824199,1.271009,5.95241,223.71820491428468,8.930916360708924e-08,86.96,2.824199,8.930916360708924e-08,2749912048.4485784,31622723.648212723
50,RMJ233352.4+070453.8,353.4685243,7.0816007,0.3005,143.55,259,97.453,3.56289,1.546636,5.49507,232.9440880293652,7.911246591474366e-08,143.55,3.56289,7.911246591474366e-08,6464883297.294415,45035759.64677405
18358,RMJ234213.7+091404.1,355.5572619,9.2344857,0.4747,74.46,73,30.553,5.003095,1.827851,5.70084,509.13892221905354,7.57689211230895e-09,74.46,5.003095,7.57689211230895e-09,49166656747.66704,660309652.8024045
