R_decile,n,median_R_pc,median_driving,median_ambient_pressure_model,median_ratio
0,83,0.8726646259971648,702.25,0.1539036423495748,4779.912669233238
1,83,1.6483665157724223,655.3600000000001,0.2049965960200354,3409.0914859171194
2,82,2.270382468635957,729.0,0.14511390396381646,4920.9353644026505
3,83,2.87446031529844,670.81,0.1242183610691121,5222.1078941908
4,82,3.582773103399471,580.8199999999999,0.1218749096857933,4658.980534489718
5,83,4.527190154200847,696.9599999999999,0.0992139955493222,7454.799069589544
6,82,5.853882792557092,622.5049999999999,0.1000713265459825,5650.457485375743
7,83,7.582485972553143,571.2099999999999,0.0938822176863117,7217.735978439095
8,82,10.734744527127345,605.1600000000001,0.10580152318670624,6370.025032010516
9,83,21.162117180431245,650.25,0.0673336452324118,10023.382680143983
