bin,n,z_mean,w,w_err,sfrd_msun_yr_mpc3
z<0.1 (nearby),741,0.034635900511897674,-0.8365432147548936,0.1307361476470818,0.016393328455362344
0.1<z<0.3,466,0.2026425821684862,-0.8474398969407272,0.02993833040560353,0.02450924563386479
0.3<z<0.6,365,0.40353312384969214,-0.8837975895264542,0.02076017753033582,0.036829407416799895
z>0.6 (toward cosmic noon),129,0.7891929269954506,-0.8527851819063352,0.027953826864937997,0.06763014617078426
