planet,a_AU,R_planet_km,dipole_rel_Earth,standoff_Rp,P_sw_nPa,driving_proxy,ambient_resistance_proxy,choke_D1,chapman_ferraro_predictor
Mercury,0.387,2439.7,0.004,1.45,12.018508503094766,0.004,12.018508503094766,0.00033282,0.10488456176091615
Earth,1.0,6371.0,1.0,10.0,1.8,1.0,1.8,0.5555555555555556,0.9066811409991332
Jupiter,5.203,69911.0,20000.0,65.0,0.06649130447036924,20000.0,0.06649130447036924,300791.2111111111,42.646414431308536
Saturn,9.537,58232.0,600.0,22.0,0.01979014334099772,600.0,0.01979014334099772,30318.12300000001,16.21718957324402
Uranus,19.19,25362.0,50.0,20.0,0.004887902739425089,50.0,0.004887902739425089,10229.336111111113,8.94271881534908
Neptune,30.07,24622.0,25.0,25.0,0.0019906992319992955,25.0,0.0019906992319992955,12558.401388888891,8.244147020225856
