table_name,description
"'J/A+A/587/A23/list'","List of fits files in r and z bands ( van der Burg R.F.J., Aussel H., Pratt G.W., Arnaud M., Melin J.-B., Aghanim N., Barrena R., Dahle H., Douspis M., Ferragamo A., Fromenteau S., Herbonnet R., Hurier G., Pointecouteau E., Rubino-Martin J.A., Streblyanska A.)"
"'J/A+A/587/A23/sources'","The 28 cluster candidates studied here ( van der Burg R.F.J., Aussel H., Pratt G.W., Arnaud M., Melin J.-B., Aghanim N., Barrena R., Dahle H., Douspis M., Ferragamo A., Fromenteau S., Herbonnet R., Hurier G., Pointecouteau E., Rubino-Martin J.A., Streblyanska A.)"
"'J/A+A/653/A106/hadv1'","HAD catalog (list of candidate clusters) ( Hurier G., Aghanim N., Douspis M.)"
