recno,Name,Meth,Nbin,rmax,K0,e_K0,sigK0,K100,e_K100,alpha,e_alpha,DOF,chi2,p-val,z,<kT>,K_core,K_500kpc,entropy_ratio_outer_to_core
859,RX J1000.4+4409,flat,,,27.7,4.4,6.3,151.1,9.9,1.09,0.09,20,1.94,1.0,0.154,3.42,27.7,900.9563836073858,32.52550121326303
863,RX J1022.1+3830,flat,,,51.6,9.8,5.3,194.8,18.7,1.04,0.22,15,8.26,0.913,0.0491,3.04,51.6,1090.3660737109496,21.13112545951453
867,RX J1130.0+3637,flat,,,29.9,2.3,12.9,149.6,9.2,1.14,0.1,23,2.81,1.0,0.06,2.0,29.9,966.9384210454816,32.339077626939186
871,RX J1320.2+3308,flat,,,8.8,0.7,13.1,140.3,23.4,1.28,0.12,8,7.01,0.536,0.0366,1.01,8.8,1109.6782122461318,126.09979684615134
875,RX J1347.5-1145,flat,,,12.5,20.7,0.6,179.9,35.3,1.06,0.34,5,4.0,0.549,0.451,10.88,12.5,1003.1936240315006,80.25548992252004
879,RX J1423.8+2404,flat,,,10.2,5.0,2.0,119.9,10.8,1.27,0.17,4,1.75,0.782,0.545,5.92,10.2,935.9870224372761,91.76343357228198
883,RX J1504.1-0248,flat,,,13.1,0.9,13.9,95.6,3.5,1.5,0.04,24,2.89,1.0,0.215,8.0,13.1,1081.9404932448995,82.5908773469389
887,RX J1532.9+3021,flat,,,16.9,1.8,9.3,76.3,5.0,1.51,0.07,18,2.38,1.0,0.345,5.44,16.9,883.800482162379,52.29588651848397
891,RX J1539.5-8335,flat,,,25.9,2.9,9.1,110.0,5.8,1.41,0.12,26,13.52,0.979,0.0728,4.29,25.9,1089.896970182288,42.08096409970224
895,RX J1720.1+2638,flat,,,21.0,1.9,10.9,109.1,5.4,1.39,0.06,27,5.56,1.0,0.164,6.37,21.0,1042.8638994697787,49.660185689037085
899,RX J1720.2+3536,flat,,,24.0,3.3,7.2,94.4,7.8,1.42,0.11,10,2.67,0.988,0.3913,5.65,24.0,951.9175750088282,39.66323229203451
903,RX J1852.1+5711,flat,,,18.7,8.3,2.3,170.4,11.8,0.83,0.16,9,5.06,0.829,0.1094,3.66,18.7,666.7592204212808,35.655573284560475
907,RX J2129.6+0005,flat,,,21.1,3.7,5.7,97.9,8.0,1.26,0.1,19,7.16,0.993,0.235,5.91,21.1,764.9491948573287,36.25351634394923
911,SC 1327-312,flat,,,64.6,9.9,6.5,160.8,12.5,0.81,0.14,28,1.03,1.0,0.0531,3.53,64.6,656.7772896537077,10.166831109190523
915,Sersic 159-03,flat,,,10.5,0.7,15.0,77.8,2.4,1.17,0.06,20,16.81,0.665,0.058,2.65,10.5,521.9162248699281,49.70630713046934
919,SS2B153,flat,,,1.1,0.2,6.9,71.4,2.1,0.8,0.02,35,24.19,0.915,0.0186,0.8,1.1,259.8463399329374,236.2239453935794
923,UGC 3957,flat,,,12.9,1.0,12.5,175.1,7.1,0.98,0.04,33,6.95,1.0,0.0341,2.85,12.9,860.6674744027888,66.71840886843324
927,UGC 12491,flat,,,3.0,0.2,13.8,148.5,11.7,1.12,0.04,20,445.44,7.289999999999999e-82,0.0174,0.87,3.0,903.6848515956783,301.2282838652261
931,ZWCL 1215,flat,,,163.2,35.6,4.6,131.3,43.6,1.0,0.32,33,2.94,1.0,0.075,6.62,163.2,819.7,5.022671568627452
935,ZWCL 1358+6245,flat,,,20.7,3.2,6.4,98.0,9.4,1.43,0.09,23,5.65,1.0,0.328,10.66,20.7,999.6334801114958,48.29147246915439
939,ZWCL 1742,flat,,,23.8,1.7,14.4,126.5,9.0,1.3,0.12,14,24.08,0.0449,0.0757,4.4,23.8,1048.8652974081724,44.06997047933498
943,ZWCL 1953,flat,,,194.5,56.6,3.4,62.1,57.0,1.39,0.65,14,0.99,1.0,0.38,7.37,194.5,776.1475541436596,3.990475856779741
947,ZWCL 3146,flat,,,11.4,2.0,5.7,105.5,6.4,1.29,0.08,12,5.24,0.949,0.29,7.48,11.4,852.6474585852108,74.79363671800094
951,ZWCL 7160,flat,,,21.1,3.1,6.8,86.3,7.2,1.37,0.1,18,2.82,1.0,0.2578,4.53,21.1,803.8078718987109,38.09515980562611
955,Zwicky 2701,flat,,,39.7,3.9,10.1,126.0,10.2,1.45,0.1,21,5.67,1.0,0.21,5.21,39.7,1339.5015526389006,33.74059326546349
959,ZwCl 0857.9+2107,flat,,,24.2,5.0,4.9,89.3,10.4,1.4,0.18,13,0.88,1.0,0.235,4.29,24.2,874.1814836366397,36.12320180316693
