Name,RAJ2000,DEJ2000,DM,DMeNE2001,DMeYMW16,DM_excess_extragalactic,ang_sep_to_nearest_PSZ2_deg,nearest_PSZ2_name
FRB20190208C,141.55,83.56,237.8,188.7,193.9,43.900000000000006,2.2140368367179954,PSZ2 G131.06+29.98
FRB20190127B,150.92,83.56,666.4,614.6,620.1,46.299999999999955,2.248504476307004,PSZ2 G125.55+32.72
FRB20181022C,141.56,83.81,528.9,478.6,483.8,45.099999999999966,2.33759642881809,PSZ2 G131.06+29.98
FRB20180911A,99.55,84.62,221.6,164.7,166.7,54.900000000000006,1.7921428099005112,PSZ2 G127.01+26.21
FRB20190614A,179.79,88.33,1062.7,1011.7,1015.7,47.0,1.6572207927009954,PSZ2 G125.11+28.14
FRB20190403A,116.33,86.36,519.2,464.6,467.8,51.400000000000034,1.344737913129047,PSZ2 G125.41+27.95
FRB20181230E,113.26,86.85,1041.7,987.2,990.1,51.60000000000002,0.9454611473714428,PSZ2 G125.41+27.95
FRB20190606B,108.79,86.85,275.0,222.4,225.2,49.80000000000001,1.0739059501123511,PSZ2 G125.41+27.95
FRB20190518D,174.72,89.31,202.2,148.5,151.8,50.39999999999998,1.7492605247507693,PSZ2 G125.11+28.14
FRB20190612B,222.21,4.31,186.0,159.9,161.8,24.19999999999999,2.1768853262496792,PSZ2 G355.50+54.72
FRB20181229B,238.37,19.78,375.3,359.7,361.3,14.0,3.6757736284554925,PSZ2 G028.63+50.15
FRB20180923C,239.14,22.85,173.1,144.9,146.5,26.599999999999994,4.099270121331225,PSZ2 G034.38+51.57
FRB20190214C,218.87,19.36,533.8,511.0,510.9,22.899999999999977,5.044875770652118,PSZ2 G032.31+66.07
FRB20190111A,217.0,26.78,173.1,150.5,150.5,22.599999999999994,2.9120824064438686,PSZ2 G045.13+67.78
FRB20190111A,217.0,26.78,173.1,150.5,150.5,22.599999999999994,2.9120824064438686,PSZ2 G045.13+67.78
FRB20190111A,217.0,26.78,173.1,150.5,150.5,22.599999999999994,2.9120824064438686,PSZ2 G045.13+67.78
FRB20190124B,214.69,28.8,443.2,419.8,420.3,22.899999999999977,1.977955163983004,PSZ2 G037.48+71.52
FRB20180915B,225.23,25.02,176.3,154.7,154.1,22.200000000000017,3.513987000172005,PSZ2 G042.19+63.00
FRB20190304C,223.01,26.72,564.5,542.9,542.5,22.0,1.440340015202648,PSZ2 G042.19+63.00
FRB20181221A,230.58,25.86,313.8,291.8,292.0,21.80000000000001,1.83501842272986,PSZ2 G042.81+56.61
FRB20190625A,227.91,32.88,297.6,279.0,278.8,18.80000000000001,0.67997404157522,PSZ2 G053.53+59.52
FRB20181022E,221.18,27.13,286.3,264.2,263.9,22.400000000000034,2.18938703227937,PSZ2 G042.19+63.00
FRB20190124C,217.17,28.38,302.5,282.2,282.2,20.30000000000001,1.380763137000953,PSZ2 G045.13+67.78
FRB20190124C,217.17,28.38,302.5,282.2,282.2,20.30000000000001,1.380763137000953,PSZ2 G045.13+67.78
FRB20181127A,243.8,25.43,930.1,898.1,901.2,28.899999999999977,4.164361411989813,PSZ2 G044.20+48.66
FRB20181214F,252.62,32.44,2106.0,2065.5,2073.2,32.80000000000018,2.0540280885763758,PSZ2 G053.80+36.49
FRB20190420C,248.1,37.25,627.6,594.2,600.4,27.200000000000045,1.4173285940703668,PSZ2 G058.31+41.96
FRB20190404B,259.79,40.0,490.1,444.4,453.5,36.60000000000002,2.487713913596649,PSZ2 G067.52+34.75
FRB20181013A,262.83,38.41,308.9,261.2,270.7,38.19999999999999,2.2523510049285917,PSZ2 G065.89+31.59
FRB20190627B,256.4,40.79,428.6,388.3,396.7,31.900000000000034,2.745162533225169,PSZ2 G067.52+34.75
FRB20190320B,250.4,39.63,490.1,451.8,459.0,31.100000000000023,2.036181374923859,PSZ2 G065.79+41.80
FRB20190103E,262.89,45.84,736.0,690.6,698.8,37.200000000000045,2.833082269631749,PSZ2 G071.63+29.78
FRB20181128C,268.77,49.71,614.6,569.2,576.6,38.0,1.5048217631184546,PSZ2 G077.67+30.59
FRB20181128C,268.77,49.71,614.6,569.2,576.6,38.0,1.5048217631184546,PSZ2 G077.67+30.59
FRB20190531B,259.91,49.32,166.6,124.9,132.6,34.0,2.3717264908881814,PSZ2 G075.30+37.21
FRB20190330B,269.41,52.81,668.0,619.2,626.0,42.0,1.3864625866915448,PSZ2 G079.35+28.35
FRB20190604E,235.59,32.06,1218.0,1192.6,1193.4,24.59999999999991,1.4640820056931234,PSZ2 G048.75+53.18
FRB20190616A,234.03,34.48,211.9,187.1,187.9,24.0,0.2145144727873802,PSZ2 G054.85+54.30
FRB20190110C,246.98,41.42,221.6,186.3,193.0,28.599999999999994,0.7011615842064572,PSZ2 G065.28+44.53
FRB20190222C,239.18,40.03,522.5,494.5,497.8,24.69999999999999,3.645862475821025,PSZ2 G063.38+53.44
FRB20181129C,233.38,40.03,503.0,475.7,477.5,25.5,1.0631464878931656,PSZ2 G063.38+53.44
FRB20180817A,233.2,42.2,1002.8,979.1,982.0,20.799999999999955,2.955700066104442,PSZ2 G063.38+53.44
FRB20190317F,236.25,47.05,1125.8,1084.8,1092.2,33.59999999999991,3.1470010506955144,PSZ2 G070.89+49.26
FRB20181215B,254.81,47.56,493.3,453.4,461.5,31.80000000000001,1.678167575256302,PSZ2 G075.30+37.21
FRB20181230D,255.3,50.51,224.8,183.4,191.0,33.80000000000001,1.5903131530773056,PSZ2 G079.36+38.06
FRB20181228C,265.19,54.36,509.5,465.1,471.8,37.69999999999999,2.11050503666032,PSZ2 G084.50+31.35
FRB20190501B,261.45,54.36,784.5,740.5,747.6,36.89999999999998,2.5314895419108328,PSZ2 G084.85+35.05
FRB20190501B,261.45,54.36,784.5,740.5,747.6,36.89999999999998,2.5314895419108328,PSZ2 G084.85+35.05
FRB20181230C,245.75,50.52,1036.8,1000.3,1008.1,28.699999999999932,4.745567137384826,PSZ2 G080.70+48.31
FRB20190414B,246.9,57.53,511.1,468.7,475.8,35.30000000000001,1.0366123751819754,PSZ2 G088.53+41.18
FRB20190403C,249.83,58.7,933.3,896.1,903.1,30.199999999999932,1.2820707534890587,PSZ2 G088.53+41.18
FRB20190320D,262.22,59.07,1151.7,1097.5,1103.9,47.799999999999955,2.0348138795338024,PSZ2 G090.04+34.09
FRB20190112A,257.98,61.2,420.5,383.8,390.1,30.399999999999977,1.3978851540225607,PSZ2 G090.04+34.09
FRB20181208A,264.43,62.62,561.3,517.6,523.5,37.799999999999955,1.60974783904121,PSZ2 G090.62+33.52
FRB20190105A,266.3,63.82,385.0,337.2,343.0,42.0,3.0555052707149457,PSZ2 G090.62+33.52
FRB20190304B,204.86,24.19,470.7,447.4,449.8,20.899999999999977,2.247379835623642,PSZ2 G031.93+78.71
FRB20190117D,208.87,31.68,1175.9,1155.5,1157.6,18.300000000000182,3.672297074544266,PSZ2 G065.45+78.10
FRB20180727A,197.72,26.42,642.1,620.9,622.4,19.700000000000045,1.1211825827105617,PSZ2 G023.17+86.71
FRB20190330A,204.09,38.36,509.5,484.1,488.6,20.899999999999977,0.5936687666171704,PSZ2 G086.28+74.76
FRB20181201A,214.96,39.27,698.7,670.4,672.9,25.800000000000068,0.6748810240500023,PSZ2 G073.31+67.52
FRB20190227B,220.54,39.8,331.6,307.3,309.0,22.600000000000023,3.7184805566704506,PSZ2 G067.17+67.46
FRB20181213C,216.4,47.46,380.1,350.2,358.2,21.900000000000034,1.1719177583824079,PSZ2 G089.52+62.34
FRB20190303A,208.03,48.24,223.2,191.8,199.9,23.299999999999983,1.8880947166543942,PSZ2 G095.22+67.41
FRB20190421A,208.03,48.24,226.4,193.8,201.8,24.599999999999994,1.8880947166543942,PSZ2 G095.22+67.41
FRB20190421A,208.03,48.24,226.4,193.8,201.8,24.599999999999994,1.8880947166543942,PSZ2 G095.22+67.41
FRB20190323C,199.5,40.07,380.1,357.5,360.9,19.200000000000045,1.486992831308456,PSZ2 G098.38+77.22
FRB20190308C,188.36,44.39,498.2,477.4,480.5,17.69999999999999,3.3175347850044936,PSZ2 G133.60+69.04
FRB20190308C,188.36,44.39,498.2,477.4,480.5,17.69999999999999,3.3175347850044936,PSZ2 G133.60+69.04
FRB20190628A,199.06,51.75,745.7,716.0,724.0,21.700000000000045,0.19992984921249224,PSZ2 G114.31+64.89
FRB20180729A,199.4,55.58,108.4,78.8,86.8,21.60000000000001,2.108514325367772,PSZ2 G112.54+59.53
FRB20181222D,188.2,56.16,1413.7,1385.9,1394.5,19.200000000000045,4.47734936682084,PSZ2 G119.92+59.12
FRB20181213B,183.52,53.7,626.0,596.0,604.7,21.299999999999955,2.8897173897592094,PSZ2 G135.17+65.43
FRB20181224D,182.45,54.85,690.7,658.8,667.9,22.800000000000068,1.9378480681921626,PSZ2 G136.92+59.46
FRB20190218A,184.05,56.42,1282.7,1253.7,1262.4,20.299999999999955,2.203854896575067,PSZ2 G136.92+59.46
FRB20180906B,185.75,56.42,3037.7,3006.7,3015.4,22.299999999999727,3.143699936710642,PSZ2 G136.92+59.46
FRB20190621B,193.14,55.64,1059.5,1030.5,1038.7,20.799999999999955,2.706210082761897,PSZ2 G119.92+59.12
FRB20190601A,190.11,62.72,2228.9,2194.9,2203.1,25.800000000000182,0.6144005351470855,PSZ2 G125.71+53.86
FRB20190224E,183.04,61.54,435.1,402.8,411.4,23.700000000000045,2.3768389260529363,PSZ2 G135.06+54.39
FRB20190125B,231.45,50.54,177.9,145.0,152.9,25.0,2.133699569356278,PSZ2 G081.02+50.57
FRB20190604A,218.78,53.28,553.2,520.9,528.7,24.5,1.8616665836220994,PSZ2 G096.14+56.24
FRB20190606A,218.78,53.28,551.6,521.0,528.8,22.800000000000068,1.8616665836220994,PSZ2 G096.14+56.24
FRB20181128D,215.62,59.93,147.2,113.8,121.3,25.89999999999999,1.544257325906025,PSZ2 G105.76+54.73
FRB20190103D,221.84,59.91,1911.9,1880.3,1887.7,24.200000000000045,0.7647234436477813,PSZ2 G098.62+51.76
FRB20190219B,246.3,57.92,1675.7,1643.4,1650.5,25.200000000000045,0.8398542653020681,PSZ2 G088.53+41.18
FRB20190430B,237.72,62.27,2617.1,2583.0,2590.0,27.09999999999991,0.2897092992037311,PSZ2 G095.29+44.13
FRB20190412A,243.45,61.87,363.9,327.2,334.0,29.899999999999977,2.504617515255219,PSZ2 G095.29+44.13
FRB20181228B,250.43,63.85,566.1,528.7,535.2,30.899999999999977,2.161663812274525,PSZ2 G097.15+39.20
FRB20181017A,256.33,68.28,1268.1,1239.0,1244.9,23.199999999999818,0.651612484966964,PSZ2 G099.55+34.23
FRB20190216A,256.33,68.28,1268.1,1239.5,1245.4,22.699999999999818,0.651612484966964,PSZ2 G099.55+34.23
FRB20190627C,267.88,71.58,968.9,920.6,925.8,43.10000000000002,2.1652664592628157,PSZ2 G101.36+32.39
FRB20181019C,244.7,66.27,503.0,462.4,469.1,33.89999999999998,1.255678137193242,PSZ2 G097.15+39.20
FRB20181116B,232.66,64.94,409.2,373.5,380.6,28.599999999999966,2.2952916986691374,PSZ2 G099.24+42.54
FRB20190409C,252.6,71.62,674.5,631.6,637.7,36.799999999999955,2.967619531115605,PSZ2 G100.22+33.81
FRB20190408A,262.2,71.6,862.1,817.4,823.1,39.0,1.0097026725943148,PSZ2 G101.36+32.39
FRB20190116C,249.32,70.96,629.2,587.4,593.6,35.60000000000002,3.302624633827659,PSZ2 G104.52+39.39
FRB20190116F,261.67,75.0,315.4,270.1,275.6,39.799999999999955,3.8441043694764114,PSZ2 G110.98+31.73
FRB20190204B,255.92,75.87,1463.8,1419.4,1425.0,38.799999999999955,2.7627526298766827,PSZ2 G110.98+31.73
