WISE,HIIName,GLON,GLAT,Rad,Dist,RGal,Z,DV1,R_pc,group_multiplicity,driving_proxy,ambient_resistance_proxy,existing_bubble_strength,choke_B1,choke_B2
G289.806-01.242,G289.755-01.152,289.806,-1.242,1088,8.4,9.7,-181.0,29.0,44.308091943962715,1,841.0,0.018721264950092874,1,44922.17818838293,44922.17818838293
G289.077-00.346,G289.063-00.355,289.077,-0.345,396,7.9,9.5,-47.0,23.0,15.166911199830725,1,529.0,0.048430812417543406,1,10922.798392049623,10922.798392049623
G287.814-00.817,G287.782-00.819,287.814,-0.817,80,2.6,8.1,-37.0,38.8,1.0084124567078347,1,1505.4399999999998,0.07723115192868486,1,19492.652412981242,19492.652412981242
G287.524-00.735,G287.393-00.630,287.524,-0.735,2283,2.6,8.1,-32.0,28.0,28.77757048329984,1,784.0,0.07984891059009173,1,9818.543474246031,9818.543474246031
G287.247+00.355,G287.247+00.355,287.247,0.355,333,2.5,8.1,15.0,32.0,4.036073895236887,1,1024.0,0.0894311955384883,1,11450.143250732945,11450.143250732945
G286.260-00.155,G286.195-00.163,286.26,-0.154,622,2.4,8.2,-6.0,26.0,7.237298631603152,1,676.0,0.09228652468683224,1,7325.0130752453615,7325.0130752453615
G284.712+00.317,G284.723+00.313,284.712,0.318,201,6.0,9.1,33.0,36.0,5.846852994181004,1,1296.0,0.059605942708939354,1,21742.798471093276,21742.798471093276
G254.682+00.220,G254.676+00.229,254.683,0.221,385,7.2,12.5,27.0,37.0,13.439035240356338,1,1369.0,0.023484173062491263,1,58294.57977324124,58294.57977324124
G253.694-00.414,G253.588-00.188; RCW19,253.694,-0.414,1540,4.1,10.4,-29.0,19.3,30.611135825256103,1,372.49,0.042224193996893616,1,8821.719605290835,8821.719605290835
G243.244+00.406,G243.159+00.372; S311; RCW16,243.244,0.407,941,5.6,12.1,39.0,20.7,25.547741739748105,1,428.48999999999995,0.024303306762247425,1,17630.93410258118,17630.93410258118
G234.644+00.834,S307,234.644,0.835,130,3.5,10.9,51.0,42.9,2.205902249048389,1,1840.4099999999999,0.03160987477624985,1,58222.62862562163,58222.62862562163
G234.576+00.833,S307,234.576,0.834,196,3.5,10.9,51.0,42.9,3.3258218524114165,1,1840.4099999999999,0.03160987477624985,1,58222.62862562163,58222.62862562163
G305.322-00.255,G305.173-00.368,305.322,-0.255,808,4.9,6.9,-21.0,36.0,19.19474326248875,1,1296.0,0.12106489299179794,1,10705.0026475289,10705.0026475289
G305.558+00.011,G305.551-00.005,305.558,0.012,121,4.9,6.9,1.0,28.0,2.8744603152984394,1,784.0,0.13833247695918038,1,5667.5049650946785,5667.5049650946785
G305.789+00.138,G305.787+00.140,305.789,0.138,321,5.0,6.9,11.0,17.0,7.781259581808052,1,289.0,0.12941099845203854,1,2233.195041046741,2233.195041046741
G305.363+00.150,G305.363+00.179,305.363,0.151,101,4.9,7.1,12.0,34.0,2.3993429078110937,2,1156.0,0.12141128729942878,2,9521.355268633568,4760.677634316784
G305.233+00.110,G305.202+00.022,305.233,0.11,678,4.9,7.0,9.0,36.0,16.106480113821004,1,1296.0,0.12745396989482075,1,10168.376874172709,10168.376874172709
G305.362+00.197,G305.363+00.179,305.362,0.198,102,4.9,7.1,16.0,34.0,2.423098778185461,2,1156.0,0.1182164402540743,2,9778.673740433143,4889.336870216572
G305.272+00.164,G305.254+00.204,305.272,0.165,90,4.9,7.0,14.0,34.0,2.138028333693054,1,1156.0,0.1232755317526195,1,9377.367783898737,9377.367783898737
G305.224+00.212,G305.254+00.204,305.224,0.213,121,4.9,7.0,18.0,34.0,2.8744603152984394,1,1156.0,0.12003162851145674,1,9630.794935766971,9630.794935766971
G305.261+00.243,G305.254+00.204,305.261,0.244,125,4.9,7.0,20.0,34.0,2.969483796795908,1,1156.0,0.1184418290138037,1,9760.065423046404,9760.065423046404
G305.535+00.357,G305.537+00.338,305.536,0.358,128,4.9,7.0,30.0,30.0,3.04075140791901,1,900.0,0.11080315836233388,1,8122.512149490709,8122.512149490709
G303.116-00.971,G303.115-00.947,303.116,-0.971,119,11.8,10.1,-200.0,25.0,6.807753710140104,1,625.0,0.014712649882122706,1,42480.45083703348,42480.45083703348
G303.445-00.745,G303.500-00.700,303.445,-0.744,435,12.5,10.5,-161.0,35.0,26.36174391033102,1,1225.0,0.017020558648178922,1,71971.78572814155,71971.78572814155
G302.503-00.762,G302.504-00.749,302.503,-0.762,251,12.1,10.4,-161.0,18.0,14.724276308977718,2,324.0,0.017513874129439482,2,18499.619079446322,9249.809539723161
G302.582-00.083,G302.504-00.749,302.582,-0.083,470,12.2,10.4,-17.0,18.0,27.799216474820792,2,324.0,0.04574092329983347,2,7083.372538769448,3541.686269384724
G302.631+00.030,G302.690+00.190,302.631,0.03,860,4.6,7.3,2.0,33.0,19.17922922469324,1,1089.0,0.12257310897617638,1,8884.493581799095,8884.493581799095
G309.540-00.720,G309.548-00.737,309.54,-0.72,195,5.4,6.8,-67.0,30.0,5.105088062083413,1,900.0,0.09167332745080592,1,9817.46845049299,9817.46845049299
G310.168-00.132,G310.176-00.131,310.168,-0.131,244,11.5,8.8,-26.0,26.0,13.603871891933577,1,676.0,0.06804275321506496,1,9934.930144042593,9934.930144042593
G308.079-00.406,G308.092-00.432,308.079,-0.405,131,9.3,7.8,-65.0,30.0,5.906485076957477,1,900.0,0.06981511384624162,1,12891.19146868583,12891.19146868583
G309.075+00.172,G309.057+00.186,309.075,0.172,489,5.4,6.7,16.0,29.0,12.801990063378408,1,841.0,0.13252918668406458,1,6345.771984588227,6345.771984588227
G309.917+00.342,G309.905+00.373,309.917,0.343,376,5.5,6.5,32.0,25.0,10.025946925345204,2,625.0,0.12612570754206748,2,4955.373588620226,2477.686794310113
G309.896+00.393,G309.905+00.373,309.896,0.393,162,5.4,6.5,37.0,25.0,4.241150082346221,2,625.0,0.12199081501937241,2,5123.336538908677,2561.6682694543383
G308.713+00.646,G308.647+00.579; RCW79,308.713,0.646,477,5.3,6.6,59.0,33.0,12.25657467213018,1,1089.0,0.10238166664786776,1,10636.669978674156,10636.669978674156
G311.639-00.627,G311.619-00.599,311.639,-0.627,262,14.4,10.8,-157.0,24.0,18.291050560900576,1,576.0,0.01604463180419629,1,35899.85778603868,35899.85778603868
G311.501-00.465,G311.497-00.483,311.501,-0.464,226,5.6,6.6,-45.0,19.0,6.135801948122286,1,361.0,0.11239742110243399,1,3211.8174639523154,3211.8174639523154
G311.866-00.238,G311.852-00.222,311.866,-0.237,61,5.7,6.4,-23.0,31.0,1.6856971692178564,2,961.0,0.13780649859422991,2,6973.546311699396,3486.773155849698
G311.841-00.219,G311.852-00.222,311.841,-0.218,58,5.7,6.4,-21.0,31.0,1.6027940297481262,2,961.0,0.13965622266606015,2,6881.182819170909,3440.5914095854546
G311.893+00.086,G311.894+00.100,311.893,0.087,186,5.7,6.6,8.0,25.0,5.1399946471233,1,625.0,0.14384087587480685,1,4345.079214784358,4345.079214784358
G311.138-00.278,G311.114-00.270,311.138,-0.278,355,14.7,11.1,-71.0,31.0,25.300001948701137,1,961.0,0.02612762997767833,1,36780.9862900314,36780.9862900314
G310.983+00.404,G310.994+00.389; RCW82,310.983,0.405,276,5.6,6.5,39.0,35.0,7.493280255228988,1,1225.0,0.12037506641343251,1,10176.526057254194,10176.526057254194
G311.629+00.289,G311.627+00.270,311.629,0.29,29,5.6,6.4,28.0,45.0,0.7873374181218865,2,2025.0,0.1332886641913901,2,15192.589799626836,7596.294899813418
G311.621+00.295,G311.627+00.270,311.621,0.296,32,5.6,6.4,29.0,45.0,0.8687861165482885,2,2025.0,0.13240302849589558,2,15294.212096234443,7647.106048117222
G311.919+00.204,G311.922+00.229,311.919,0.205,156,7.9,6.7,28.0,26.0,5.974843805993921,1,676.0,0.12233985860138606,1,5525.590823204869,5525.590823204869
G312.110+00.311,G312.112+00.314,312.11,0.311,105,5.7,6.6,30.0,36.0,2.901609881440573,1,1296.0,0.12421836106911213,1,10433.24021381136,10433.24021381136
G311.484+00.361,G311.489+00.368,311.484,0.361,81,5.6,6.4,35.0,24.0,2.199114857512855,1,576.0,0.12721143149064057,1,4527.89496392373,4527.89496392373
G311.489+00.394,G311.489+00.368,311.489,0.394,185,5.6,6.4,38.0,24.0,5.022669736294792,1,576.0,0.12469247637657908,1,4619.364509695388,4619.364509695388
G313.460+00.192,G313.446+00.176,313.46,0.192,85,11.5,8.4,38.0,29.0,4.739053732845715,1,841.0,0.07041610108787864,1,11943.291193450767,11943.291193450767
G314.078+00.483,G314.098+00.480,314.078,0.484,351,5.9,6.1,49.0,24.0,10.04000652209738,1,576.0,0.1262458844815665,1,4562.524967569167,4562.524967569167
G311.216+00.762,G311.197+00.752,311.216,0.763,346,5.6,6.4,74.0,20.0,9.39374988517837,1,400.0,0.09808657598320016,1,4078.030005538273,4078.030005538273
G306.321-00.358,G306.315-00.361,306.321,-0.358,104,8.9,7.9,-55.0,32.0,4.487435432349866,1,1024.0,0.07252604619264792,1,14119.065546190004,14119.065546190004
G305.689+01.612,G305.678+01.607,305.689,1.613,224,5.0,6.9,139.0,17.0,5.429913228426804,1,289.0,0.05512812606861821,1,5242.333099446923,5242.333099446923
G320.104-00.511,G320.109-00.510,320.104,-0.51,259,12.2,7.9,-108.0,31.0,15.319142695699115,1,961.0,0.05093816376264542,1,18866.01182716233,18866.01182716233
G321.115-00.546,G321.105-00.549,321.115,-0.546,251,3.8,6.1,-35.0,35.0,4.624152890422755,1,1225.0,0.1385962184941574,1,8838.624987821298,8838.624987821298
G321.015-00.527,G321.038-00.519,321.015,-0.526,242,4.1,5.9,-37.0,38.0,4.810321343968816,1,1444.0,0.14480301862632156,1,9972.167802153243,9972.167802153243
G316.141-00.506,G316.156-00.492,316.141,-0.506,112,6.1,6.1,-54.0,18.0,3.31224706934035,1,324.0,0.12210705209016254,1,2653.40940145506,2653.40940145506
G316.369-00.368,G316.393-00.356,316.369,-0.368,244,12.7,8.8,-81.0,33.0,15.023406350222299,1,1089.0,0.047156391880557334,1,23093.369882037066,23093.369882037066
G315.312-00.272,G315.312-00.273,315.312,-0.271,115,13.6,9.7,-64.0,23.0,7.582485972553143,1,529.0,0.04083992026367118,1,12953.012556945849,12953.012556945849
G314.184+00.265,G314.183+00.314,314.184,0.266,258,5.9,6.1,27.0,23.0,7.379833853849356,1,529.0,0.1461886829219619,1,3618.611163508392,3618.611163508392
G314.239+00.428,G314.228+00.437,314.239,0.429,130,5.9,6.1,44.0,30.0,3.7185209341101415,1,900.0,0.1305250030666908,1,6895.230636693811,6895.230636693811
G316.796-00.056,G316.808-00.037,316.796,-0.056,311,2.5,6.9,-2.0,30.0,3.769426370626642,1,900.0,0.1374133276812995,1,6549.583036715008,6549.583036715008
G319.164-00.421,G319.157-00.423,319.164,-0.42,92,11.4,7.4,-83.0,29.0,5.084725887476813,1,841.0,0.06941730800911916,1,12115.134166388592,12115.134166388592
G318.915-00.165,G318.911-00.181,318.915,-0.165,96,10.8,7.1,-31.0,30.0,5.026548245743669,1,900.0,0.10696665856889886,1,8413.836722966309,8413.836722966309
G319.348+00.018,G319.380-00.025,319.348,0.018,131,12.0,7.8,3.0,18.0,7.621271067041906,1,324.0,0.10554990248412882,1,3069.6380799472436,3069.6380799472436
G320.311-00.176,G320.317-00.208,320.311,-0.176,91,12.4,8.0,-38.0,26.0,5.470637577640004,1,676.0,0.07894154642605052,1,8563.29816940249,8563.29816940249
G320.357+00.153,G320.379+00.139,320.357,0.154,69,13.0,8.4,34.0,22.0,4.348778719552538,1,484.0,0.07231912466076311,1,6692.558880798998,6692.558880798998
G320.248+00.442,G320.236+00.417; RCW88,320.248,0.442,324,2.1,7.0,16.0,17.0,3.2986722862692828,1,289.0,0.12164276728142416,1,2375.8091537936643,2375.8091537936643
G320.692+00.185,G320.706+00.197,320.692,0.186,341,12.8,8.2,41.0,32.0,21.161147553069025,1,1024.0,0.07308073601298427,1,14011.900479738815,14011.900479738815
G319.884+00.793,G319.874+00.770,319.884,0.794,202,2.6,6.7,35.0,20.0,2.546241453187283,1,400.0,0.11676183143900234,1,3425.7770289340174,3425.7770289340174
G320.163+00.797,G320.153+00.780; RCW87,320.163,0.797,186,2.4,6.8,33.0,26.0,2.1642082724729685,1,676.0,0.11499609095903948,1,5878.460688205348,5878.460688205348
G324.924-00.569,G324.954-00.584,324.924,-0.569,78,16.6,10.8,-165.0,25.0,6.277367543006272,1,625.0,0.015211336819962729,1,41087.776005313084,41087.776005313084
G324.201+00.117,G324.192+00.109,324.201,0.118,156,6.9,5.0,14.0,32.0,5.218534463463045,1,1024.0,0.21829568938629829,1,4690.885114950296,4690.885114950296
G324.135+00.236,G324.147+00.231,324.135,0.237,386,6.9,5.0,28.0,22.0,12.912527582671382,1,484.0,0.19884332115632938,1,2434.077228168414,2434.077228168414
G327.285-00.576,G327.313-00.536; RCW97,327.285,-0.576,45,3.2,6.1,-32.0,29.0,0.6981317007977318,1,841.0,0.14139604783038043,1,5947.832438774164,5947.832438774164
G327.300-00.548,G327.313-00.536,327.3,-0.547,276,3.2,6.1,-30.0,29.0,4.281874431559421,1,841.0,0.14329395305256898,1,5869.0543605246885,5869.0543605246885
G327.770-00.346,G327.759-00.351,327.77,-0.345,122,4.6,5.2,-27.0,27.0,2.7207743783867158,1,729.0,0.189055570049143,1,3856.009107853866,3856.009107853866
G327.824+00.117,G327.834+00.113,327.824,0.118,236,7.2,4.5,14.0,22.0,8.237954069413234,1,484.0,0.25181826581252914,1,1922.0210195567106,1922.0210195567106
G326.270+00.783,G326.315+00.689; RCW94,326.27,0.784,949,3.0,6.2,41.0,15.0,13.802645501188488,1,225.0,0.12941099845203852,1,1738.6466582543837,1738.6466582543837
G326.446+00.901,G326.441+00.914,326.446,0.902,178,2.7,6.5,41.0,27.0,2.33001455141243,1,729.0,0.11878071813633852,1,6137.359762072169,6137.359762072169
G326.643+00.514,G326.645+00.589; RCW95,326.643,0.515,524,3.0,6.3,26.0,27.0,7.621271067041906,1,729.0,0.13899277392785184,1,5244.876977406093,5244.876977406093
G322.162+00.625,G322.153+00.613; RCW92,322.162,0.626,174,3.5,6.1,37.0,35.0,2.952515317957074,1,1225.0,0.13676053400606775,1,8957.262480019635,8957.262480019635
G330.290-00.395,G330.305-00.385,330.29,-0.394,147,10.0,5.0,-69.0,34.0,7.12676111231018,1,1156.0,0.1512877799344774,1,7641.066585157523,7641.066585157523
G331.123-00.530,G331.110-00.506,331.123,-0.529,143,4.3,5.2,-39.0,31.0,2.981119325142537,1,961.0,0.17452028708780756,1,5506.523144306344,5506.523144306344
G331.338-00.365,G331.314-00.336,331.338,-0.365,208,4.1,5.3,-26.0,50.0,4.134491072502123,1,2500.0,0.18495937962283446,1,13516.481321995949,13516.481321995949
G330.673-00.388,G330.677-00.396,330.673,-0.388,113,4.0,5.4,-26.0,28.0,2.1913578386151022,1,784.0,0.1797496056631758,1,4361.622920436889,4361.622920436889
G330.873-00.369,G330.856-00.371,330.873,-0.368,98,3.7,5.6,-23.0,30.0,1.7579344077031773,1,900.0,0.17319566131128858,1,5196.435021443229,5196.435021443229
G332.849-01.498,G332.783-01.445; RCW104,332.849,-1.498,496,2.9,6.0,-76.0,30.0,6.973559989079566,1,900.0,0.10850572081865664,1,8294.493536466629,8294.493536466629
G332.145-00.452,G332.148-00.446,332.145,-0.451,236,3.7,5.5,-28.0,39.0,4.233393063448467,1,1521.0,0.17237288062334968,1,8823.893842811169,8823.893842811169
G332.657-00.622,G332.662-00.607,332.657,-0.622,218,3.3,5.8,-35.0,25.0,3.4877496219020014,1,625.0,0.15099988700538666,1,4139.075944988649,4139.075944988649
G332.762-00.595,G332.789-00.564,332.762,-0.595,411,3.8,5.4,-39.0,29.0,7.571820071568734,1,841.0,0.1648272797310477,1,5102.3107423254105,5102.3107423254105
G331.520-00.076,G331.517-00.069,331.52,-0.075,153,5.4,4.6,-7.0,29.0,4.005530633326987,1,841.0,0.256416454480864,1,3279.8207186144627,3279.8207186144627
G333.288-00.399,G333.292-00.371,333.288,-0.398,86,3.4,5.6,-23.0,31.0,1.4175952035642831,1,961.0,0.17319566131128858,1,5548.637839563269,5548.637839563269
G333.011-00.441,G333.028-00.447,333.011,-0.441,137,3.6,5.5,-28.0,29.2,2.3911010752322315,1,852.64,0.17237288062334968,1,4946.485763402048,4946.485763402048
G333.129-00.439,G333.114-00.441,333.129,-0.439,112,3.5,5.6,-27.0,27.0,1.9004696299493813,1,729.0,0.16863814726859552,1,4322.865329152945,4322.865329152945
G333.627-00.199,G333.610-00.208,333.627,-0.198,270,3.2,5.8,-11.0,42.0,4.1887902047863905,1,1764.0,0.17720000891935625,1,9954.852772060507,9954.852772060507
G333.681-00.441,G333.684-00.457,333.681,-0.44,65,11.8,5.6,-90.0,43.0,3.7185209341101415,1,1849.0,0.11080315836233391,1,16687.249960453686,16687.249960453686
G332.964+00.771,G332.978+00.792,332.964,0.771,72,3.5,5.6,47.0,24.0,1.2217304763960306,1,576.0,0.1475876070623101,1,3902.766712362361,3902.766712362361
G340.051-00.231,G340.047-00.253,340.051,-0.231,74,3.9,5.0,-15.0,24.0,1.399172283682121,1,576.0,0.21684522504361806,1,2656.272462924367,2656.272462924367
G340.294-00.193,G340.279-00.222,340.294,-0.192,230,3.5,5.4,-11.0,24.0,3.9027501329317644,1,576.0,0.1986540367145076,1,2899.5131915078523,2899.5131915078523
G334.721-00.653,G334.714-00.665,334.721,-0.652,105,17.5,10.5,-199.0,36.0,8.908451390387723,1,1296.0,0.01321151254943723,1,98096.26226750287,98096.26226750287
G336.515-01.479,G336.514-01.477; RCW108,336.515,-1.479,162,2.1,6.6,-53.0,20.0,1.6493361431346414,1,400.0,0.10655994172687425,1,3753.755806522937,3753.755806522937
G336.358-00.137,G336.375-00.131,336.358,-0.137,105,10.2,4.2,-24.0,34.0,5.192354524683131,1,1156.0,0.25666077695355594,1,4503.999456875267,4503.999456875267
G336.539-00.198,G336.489-00.154,336.539,-0.197,105,10.4,4.3,-35.0,23.0,5.294165397716133,1,529.0,0.23179434094368548,1,2282.1954921173883,2282.1954921173883
G336.455+00.042,G336.456+00.038,336.455,0.043,197,11.4,4.9,8.0,38.0,10.887945650357958,1,1444.0,0.23378968885499324,1,6176.491388786752,6176.491388786752
G336.919-00.188,G336.934-00.146,336.919,-0.187,191,10.8,4.5,-35.0,24.1,10.000736613927508,1,580.8100000000001,0.21892028320796778,1,2653.066182306405,2653.066182306405
G337.120-00.180,G337.147-00.181,337.121,-0.179,147,10.9,4.5,-34.0,39.0,7.768169612418096,1,1521.0,0.2203846274867903,1,6901.57030163625,6901.57030163625
G334.698-00.090,G334.684-00.107,334.698,-0.09,157,12.9,6.4,-20.0,25.0,9.818931483511431,1,625.0,0.1405903745302286,1,4445.539049799015,4445.539049799015
G337.922-00.463,G337.949-00.476,337.922,-0.462,108,3.1,5.7,-25.0,37.0,1.6231562043547263,1,1369.0,0.1660879028999667,1,8242.623189869144,8242.623189869144
G338.114-00.193,G338.131-00.173,338.114,-0.193,271,11.9,5.1,-40.0,19.0,15.634756402101425,1,361.0,0.17838528885534946,1,2023.709479164118,2023.709479164118
G338.075+00.016,G338.087+00.007,338.075,0.016,75,12.2,5.4,3.0,25.0,4.436045182152254,1,625.0,0.20953653930788285,1,2982.7733247119027,2982.7733247119027
G338.405-00.203,G338.407-00.238,338.405,-0.203,63,16.2,8.9,-57.0,20.0,4.948008429403924,1,400.0,0.053779810978920504,1,7437.735327050214,7437.735327050214
G337.652-00.050,G337.665-00.048,337.652,-0.05,197,11.8,5.1,-10.0,29.0,11.269978831072272,1,841.0,0.21788028382312244,1,3859.9178651829407,3859.9178651829407
G338.706+00.645,G338.742+00.641,338.706,0.646,181,4.3,4.7,48.0,30.0,3.7733048800755182,1,900.0,0.18959650121153504,1,4746.923040504104,4746.923040504104
G339.134-00.377,G339.128-00.408,339.134,-0.377,257,3.0,5.8,-19.0,22.0,3.737913481354522,1,484.0,0.16799693835714968,1,2881.0048845714678,2881.0048845714678
G338.934-00.067,G338.921-00.089,338.934,-0.067,241,3.2,5.6,-3.0,22.0,3.738883108716742,1,484.0,0.1978986990836147,1,2445.6957132169114,2445.6957132169114
G339.233+00.243,G339.286+00.163,339.233,0.244,484,11.2,4.4,47.0,28.0,26.28078002558573,1,784.0,0.20794613680671017,1,3770.2070932375277,3770.2070932375277
G339.585-00.104,G339.578-00.124,339.585,-0.104,300,13.3,6.1,-24.0,24.0,19.344065876270484,1,576.0,0.14914189021373206,1,3862.0940044044414,3862.0940044044414
G339.845+00.299,G339.838+00.274,339.845,0.3,97,14.2,6.8,74.0,22.0,6.677823643602749,1,484.0,0.08749352606446612,1,5531.837860133604,5531.837860133604
G338.911+00.615,G338.943+00.604,338.911,0.616,226,4.4,4.7,46.0,26.0,4.820987244953225,1,676.0,0.19214138273601522,1,3518.2426105924433,3518.2426105924433
G340.780-01.022,G340.777-01.008; RCW110,340.78,-1.022,128,2.3,6.3,-41.0,35.0,1.427291477186474,1,1225.0,0.12576586268653328,1,9740.322006562836,9740.322006562836
G341.283-00.353,G341.264-00.317,341.283,-0.352,146,3.3,5.5,-20.0,26.0,2.3358323155857446,1,676.0,0.18181567046762054,1,3718.0513553169694,3718.0513553169694
G341.968+00.224,G341.963+00.205,341.968,0.225,99,15.3,7.7,60.0,30.0,7.343472827766142,1,900.0,0.07427357821433388,1,12117.364231501522,12117.364231501522
G342.354-00.047,G342.382-00.044,342.354,-0.046,123,14.8,7.2,-11.0,56.0,8.825548250917993,1,3136.0,0.11878071813633853,1,26401.591514208947,26401.591514208947
G342.062+00.417,G342.085+00.423,342.062,0.417,175,4.7,4.3,34.0,30.0,3.987592527125933,1,900.0,0.23334479900106833,1,3856.9533319483994,3856.9533319483994
G344.224-00.594,G344.226-00.588,344.224,-0.594,90,2.8,5.9,-29.0,30.0,1.2217304763960306,1,900.0,0.15273549889096463,1,5892.539760141126,5892.539760141126
G345.410-00.953,G345.425-00.940; RCW117,345.41,-0.952,326,2.6,6.0,-43.0,27.0,4.109280761084427,1,729.0,0.1352064538477388,1,5391.754455900123,5391.754455900123
G344.424+00.044,G344.439+00.048,344.424,0.045,95,5.0,3.9,3.0,18.0,2.302864985270296,1,324.0,0.3216517905788812,1,1007.300470539563,1007.300470539563
G343.912+00.116,G343.910+00.115,343.912,0.116,91,17.4,9.5,35.0,28.4,7.676539826688392,1,806.56,0.05246447276891657,1,15373.450974196381,15373.450974196381
G345.486+00.315,G345.490+00.310,345.486,0.316,40,13.9,6.1,76.0,33.8,2.69556406696902,1,1142.4399999999998,0.10544942662072108,1,10834.008648611347,10834.008648611347
G345.493+00.303,G345.490+00.310,345.493,0.304,57,13.9,6.1,73.0,33.8,3.841178795430854,1,1142.4399999999998,0.1075796463435127,1,10619.480903962756,10619.480903962756
G345.651+00.015,G345.645+00.010,345.651,0.015,98,15.2,7.2,4.0,28.0,7.221784593807648,1,784.0,0.12445519295371982,1,6299.455903712591,6299.455903712591
G346.521+00.086,G346.539+00.097,346.521,0.087,59,17.0,9.0,25.0,33.0,4.8626812215286455,1,1089.0,0.06469345523893046,1,16833.232913252632,16833.232913252632
G347.921-00.763,G347.918-00.761,347.921,-0.763,69,18.2,10.0,-241.0,32.8,6.088290207373553,1,1075.84,0.011518399982027977,1,93401.86151536848,93401.86151536848
G348.249-00.971,G348.240-00.980; RCW121,348.249,-0.97,289,14.2,6.1,-239.0,29.0,19.89578384537314,1,841.0,0.03557221312153524,1,23642.04884094948,23642.04884094948
G348.533-00.973,G348.533-00.972,348.533,-0.972,57,1.9,6.7,-31.0,24.4,0.5250532166416275,1,595.3599999999999,0.11991736709361465,1,4964.752099128614,4964.752099128614
G348.710-01.044,G348.715-01.031; RCW122,348.71,-1.044,388,3.4,5.2,-61.0,27.0,6.395662081196999,2,729.0,0.15071254192185654,2,4837.022789901464,2418.511394950732
G348.691-00.826,G348.715-01.031; RCW122,348.691,-0.825,1328,3.4,5.2,-48.0,27.0,21.89030732945777,2,729.0,0.16435701677023828,2,4435.466244919135,2217.7331224595673
G348.892-00.179,G348.891-00.179,348.892,-0.179,28,19.7,11.4,-61.0,27.2,2.674232265000201,1,739.8399999999999,0.025634670590750166,1,28860.913089593534,28860.913089593534
G346.873+00.330,G346.875+00.328,346.873,0.33,79,17.5,9.4,100.0,26.9,6.702549141339334,1,723.6099999999999,0.03500091929098457,1,20674.028415773217,20674.028415773217
G328.555-00.536,G328.593-00.518; RCW99,328.555,-0.535,27,3.4,5.9,-31.0,27.0,0.445058959258554,6,729.0,0.15071254192185654,6,4837.022789901464,806.1704649835775
G328.574-00.562,G328.593-00.518; RCW99,328.574,-0.561,83,3.4,5.9,-33.0,27.0,1.3681442080911106,6,729.0,0.14871637869047533,6,4901.948301990825,816.9913836651375
G328.572-00.527,G328.593-00.518; RCW99,328.572,-0.526,99,3.4,5.9,-31.0,27.0,1.6318828506146983,6,729.0,0.15071254192185654,6,4837.022789901464,806.1704649835775
G328.589-00.526,G328.593-00.518; RCW99,328.589,-0.525,27,3.4,5.9,-30.0,27.0,0.445058959258554,6,729.0,0.1517206488239494,6,4804.883222229709,800.8138703716181
G328.551-00.500,G328.593-00.518; RCW99,328.551,-0.499,62,3.4,5.9,-29.0,27.0,1.0219872397789018,6,729.0,0.15273549889096463,6,4772.957205714312,795.492867619052
G328.587-00.488,G328.593-00.518; RCW99,328.587,-0.488,34,3.4,5.9,-28.0,27.0,0.5604446153626236,6,729.0,0.1537571372275167,6,4741.243321415955,790.2072202359925
G329.340+00.121,G329.353+00.144,329.34,0.122,57,7.3,4.3,15.0,27.0,2.0173097270967792,1,729.0,0.26485535596213783,1,2752.4457542184405,2752.4457542184405
G329.338+00.147,G329.353+00.144,329.338,0.148,77,7.3,4.3,18.0,27.0,2.7251377015167018,1,729.0,0.25961086853227594,1,2808.0488468046074,2808.0488468046074
G329.465+00.207,G329.489+00.207,329.465,0.207,16,7.3,4.4,26.0,27.0,0.566262379535938,1,729.0,0.23919499274233924,1,3047.722661925781,3047.722661925781
G329.470+00.205,G329.489+00.207,329.47,0.206,18,7.3,4.4,26.0,27.0,0.6370451769779302,1,729.0,0.23919499274233924,1,3047.722661925781,3047.722661925781
G329.472+00.214,G329.489+00.207,329.472,0.215,55,7.3,4.4,27.0,27.0,1.946526929654787,1,729.0,0.23760566310923567,1,3068.1086909315504,3068.1086909315504
G328.320+00.435,G328.310+00.448,328.32,0.435,105,7.2,4.6,54.0,24.0,3.6651914291880923,1,576.0,0.18744201883280756,1,3072.950257294092,3072.950257294092
G328.286+00.464,G328.310+00.448,328.286,0.464,96,7.2,4.6,58.0,24.0,3.3510321638291125,1,576.0,0.18250962256748857,1,3155.9979791586397,3155.9979791586397
G333.093+01.966,G333.040+02.020; RCW105,333.093,1.967,739,1.6,7.1,54.0,24.0,5.732436965439153,1,576.0,0.09176067697011829,1,6277.1986761559465,6277.1986761559465
G300.502-00.180,G300.479-00.192,300.502,-0.18,132,11.2,10.1,-35.0,24.0,7.1674854615233805,1,576.0,0.04419924289809253,1,13031.897431547588,13031.897431547588
G298.183-00.784,G298.187-00.782,298.183,-0.783,174,9.8,9.4,-133.0,27.0,8.267042890279807,1,729.0,0.028088895676982657,1,25953.31651280888,25953.31651280888
G297.651-00.973,G297.655-00.977,297.651,-0.973,171,10.5,10.0,-179.0,30.0,8.70482964432172,1,900.0,0.017414080245629977,1,51682.316108877065,51682.316108877065
G298.862-00.432,G298.868-00.432,298.862,-0.432,290,10.7,10.0,-80.0,30.0,15.0437685248289,1,900.0,0.033692628969906734,1,26712.07405049495,26712.07405049495
G298.846-00.334,G298.868-00.432,298.846,-0.334,123,10.7,10.0,-62.0,30.0,6.380632857082603,1,900.0,0.0379883330850019,1,23691.484382486033,23691.484382486033
