WISE,HIIName,GLON,GLAT,Rad,Dist,RGal,Z,DV1,R_pc,group_multiplicity,driving_proxy,ambient_resistance_proxy,existing_bubble_strength,choke_B1,choke_B2
G043.730+00.114,G043.738+00.114,43.73,0.115,128,6.1,5.9,12.0,22.4,3.785425222103257,1,501.75999999999993,0.17106455386858305,1,2933.161713825689,2933.161713825689
G043.432+00.516,G043.432+00.521,43.432,0.517,74,13.6,9.5,122.0,22.7,4.879164886686371,1,515.29,0.0293747726060314,1,17541.923027318946,17541.923027318946
G043.894+00.197,G043.906+00.230,43.895,0.198,168,16.1,11.6,55.0,21.3,13.11324044665073,1,453.69000000000005,0.02519896438979206,1,18004.3113273253,18004.3113273253
G043.818+00.395,G043.818+00.393,43.818,0.395,108,13.3,9.3,91.0,27.6,6.963863715457374,1,761.7600000000001,0.038242434703179416,1,19919.233854027305,19919.233854027305
G044.379-00.327,G044.427-00.317,44.379,-0.327,302,6.1,6.1,-34.0,18.6,8.931237633399872,1,345.96000000000004,0.139523280055765,1,2479.586201397544,2479.586201397544
G044.552-00.239,G044.528-00.234,44.553,-0.239,227,6.1,6.2,-25.0,13.6,6.713215042323744,1,184.95999999999998,0.1439779324398352,1,1284.6413118016553,1284.6413118016553
G044.811-00.492,G044.786-00.490,44.812,-0.492,274,8.9,6.6,-76.0,30.0,11.822666427537145,1,900.0,0.09141177747883159,1,9845.558469841753,9845.558469841753
G044.224+00.085,G044.264+00.100,44.225,0.085,319,7.7,6.1,11.0,30.4,11.908478449093533,1,924.16,0.1626441690812499,1,5682.097336906865,5682.097336906865
G044.501+00.332,G044.501+00.335,44.501,0.332,50,16.6,12.1,96.0,22.0,4.023953553209148,1,484.0,0.016620093610950702,1,29121.3762888255,29121.3762888255
G044.904-00.733,G044.922-00.725,44.904,-0.732,131,6.0,6.0,-76.0,17.2,3.810635533520953,1,295.84,0.10850572081865664,1,2726.4921864758744,2726.4921864758744
G045.002-00.611,G045.039-00.643,45.002,-0.61,350,6.0,6.1,-64.0,24.6,10.181087303300254,1,605.1600000000001,0.11423200015196666,1,5297.639883701025,5297.639883701025
G045.195-00.439,G045.190-00.439,45.195,-0.439,77,6.0,6.0,-45.0,25.1,2.239839206726056,1,630.0100000000001,0.13341566624390264,1,4722.159081739719,4722.159081739719
G045.391-00.725,G045.386-00.726,45.391,-0.724,191,8.0,6.4,-101.0,20.6,7.407953047353709,1,424.36000000000007,0.08192879505809537,1,5179.61968925685,5179.61968925685
G045.070+00.132,G045.070+00.130,45.07,0.132,60,6.0,6.2,13.0,24.8,1.7453292519943295,1,615.0400000000001,0.15596943224265236,1,3943.3367882184766,3943.3367882184766
G045.825-00.291,G045.820-00.290,45.825,-0.29,71,6.6,6.1,-33.0,26.3,2.2718369096792856,1,691.69,0.14045654267500862,1,4924.583695616425,4924.583695616425
G045.838-00.296,G045.820-00.290,45.839,-0.295,168,5.9,6.1,-30.0,26.3,4.80547320715772,1,691.69,0.14329395305256898,1,4827.070405031299,4827.070405031299
G045.933-00.403,G045.930-00.400,45.933,-0.402,60,5.9,6.1,-41.0,21.1,1.7162404311277573,1,445.21000000000004,0.13316178303563433,1,3343.376679485142,3343.376679485142
G040.503+02.537,G040.504+02.537; S76,40.503,2.537,169,1.6,7.4,68.0,20.7,1.3109361937201853,1,428.48999999999995,0.07671799002277822,1,5585.261030336921,5585.261030336921
G044.521+00.385,G044.518+00.379,44.521,0.385,42,17.5,12.9,117.0,25.9,3.5633805561550895,1,670.81,0.011496481054334666,1,58349.1589147686,58349.1589147686
G044.418+00.535,G044.417+00.536,44.418,0.536,84,18.4,13.7,171.0,25.0,7.4932802552289886,1,625.0,0.006381923651571933,1,97932.85443740088,97932.85443740088
G045.118+00.144,G045.120+00.130,45.119,0.144,18,7.7,6.2,19.0,44.5,0.6719517620178168,1,1980.25,0.14985378332932425,1,13214.547914670455,13214.547914670455
G045.121+00.133,G045.120+00.130,45.122,0.133,100,6.0,6.2,13.0,44.5,2.908882086657216,1,1980.25,0.15596943224265236,1,12696.39807958773,12696.39807958773
G045.128+00.131,G045.120+00.130,45.129,0.131,9,6.0,6.2,13.0,44.5,0.2617993877991494,1,1980.25,0.15596943224265236,1,12696.39807958773,12696.39807958773
G045.131+00.127,G045.120+00.130,45.132,0.128,7,6.0,6.2,13.0,44.5,0.20362174606600514,1,1980.25,0.15596943224265236,1,12696.39807958773,12696.39807958773
G045.132+00.146,G045.120+00.130,45.133,0.146,36,6.0,6.2,15.0,44.5,1.0471975511965976,1,1980.25,0.15390364234957488,1,12866.816988658944,12866.816988658944
G045.133+00.132,G045.120+00.130,45.133,0.133,8,6.0,6.2,13.0,44.5,0.23271056693257727,1,1980.25,0.15596943224265236,1,12696.39807958773,12696.39807958773
G045.453+00.044,G045.450+00.060,45.453,0.045,244,7.7,6.3,5.0,31.7,9.108679440685961,1,1004.89,0.1598797460796939,1,6285.2864395912975,6285.2864395912975
G045.542-00.006,G045.542-00.006,45.542,-0.006,42,6.0,6.3,0.0,26.2,1.2217304763960306,1,686.4399999999999,0.16529888822158653,1,4152.720005471622,4152.720005471622
G045.634-00.016,G045.631-00.017,45.634,-0.016,106,11.4,8.1,-3.0,19.6,5.858488522527633,1,384.1600000000001,0.09687965757355482,1,3965.3319347080765,3965.3319347080765
G045.475+00.130,G045.480+00.130; K47,45.475,0.13,144,7.7,6.3,17.0,29.5,5.3756140961425345,1,870.25,0.14758760706231008,1,5896.497797627336,5896.497797627336
G045.197+00.740,G045.197+00.738,45.197,0.74,80,15.5,11.2,199.0,31.4,6.011689645758246,1,985.9599999999999,0.010816671618899954,1,91151.88430766757,91151.88430766757
G046.495-00.241,G046.495-00.247,46.495,-0.24,298,4.7,6.3,-19.0,22.4,6.79030041762016,1,501.75999999999993,0.1456328330875066,1,3445.3769068579936,3445.3769068579936
G046.173+00.533,G046.176+00.536,46.174,0.533,60,11.5,8.3,106.0,24.8,3.345214399655798,1,615.0400000000001,0.04604688151604199,1,13356.821998591371,13356.821998591371
G046.213+00.547,G046.213+00.548,46.213,0.548,37,11.5,8.3,109.0,26.3,2.0628822131210756,1,691.69,0.04513509217193771,1,15324.882850910657,15324.882850910657
G047.028+00.216,G047.028+00.232,47.028,0.216,122,5.8,6.3,21.0,21.0,3.4305416075310764,1,441.0,0.14370394977770293,1,3068.8091780510367,3068.8091780510367
G046.948+00.371,G046.948+00.374,46.948,0.371,65,16.2,12.1,104.0,29.3,5.105088062083414,1,858.49,0.01575691140692684,1,54483.39321261921,54483.39321261921
G047.100+00.479,G047.100+00.480,47.1,0.48,60,17.8,13.6,149.0,31.6,5.177810114249844,1,998.5600000000001,0.0076042527254842635,1,131315.9933064177,131315.9933064177
G047.094+00.492,G047.094+00.492,47.095,0.492,60,17.5,13.3,150.0,24.8,5.090543651650128,1,615.0400000000001,0.008229747049020027,1,74733.76719072273,74733.76719072273
G048.547-00.005,G048.551-00.001,48.548,-0.005,94,9.9,7.7,0.0,24.5,4.511676116405342,1,600.25,0.11080315836233387,1,5417.264353035332,5417.264353035332
