gal,n,slow,spin,red,medlog,outer_gbar
NGC2685,2,False,0.08656480141520989,0.13119987401712452,0.0281152949681214,-11.378958826211194
NGC2824,2,False,0.23142818678481927,0.24128728197730698,0.15269421950683207,-10.256165279748958
NGC2859,2,False,0.06456726430921285,0.08943749247435391,0.06377997677762005,-10.433209295618969
NGC2974,2,False,0.23488633907673256,0.12219583483436972,0.23412577557656905,-10.13675962237829
NGC3522,2,True,0.25016283181818116,0.21610974894493698,0.216595467218222,-10.977812091894577
NGC3626,2,False,0.1032169249460973,0.23833131035339788,-0.10302912513798615,-10.413438578420198
NGC3838,2,False,0.19991312643135556,0.06713903261462621,0.1949747346234566,-11.16724465455988
NGC3941,2,False,0.07364126756704462,0.21444024726206026,-0.07352093409924594,-10.554519155093999
NGC3945,2,False,0.10905260222982965,0.11891781523464819,0.09558503123092342,-10.264201104123371
NGC3998,2,False,0.3303771196436618,0.22323151589478865,0.330257880611657,-10.566271212620498
NGC4203,2,False,0.09850195805897372,0.12971131037722505,0.0013573916431180374,-10.571774735191601
NGC4262,2,False,0.34496205870968927,0.2564551784856607,0.3396793977466703,-10.571920375973233
NGC4278,2,False,0.21878471656436493,0.13127897693835952,0.21712639074040135,-10.226266598244537
NGC5582,2,False,0.3665125759889794,0.1897921393896609,0.34969194850558655,-11.217506013131318
NGC6798,2,False,0.3777878700624937,0.2969440756534879,0.32399677379952807,-11.077752413239773
UGC6176,2,False,0.4050123108382046,0.38628827783111697,0.29492388380206624,-10.69956174369397
