gal,n,slow,spin,red,medlog,outer_gbar
NGC2685,2,False,0.18623205266331816,0.29133278861009704,-0.14382468702337964,-11.157110076594838
NGC2824,2,False,0.1572892471055352,0.25677055371751983,-0.03527761244866374,-10.0343165301326
NGC2859,2,False,0.12580990095133399,0.23768015967017453,-0.12129242736076128,-10.211360546002611
NGC2974,2,False,0.058164973025970484,0.06044472028700818,0.04492436590959046,-9.914910872761935
NGC3522,2,True,0.1048091774752344,0.20414580996347723,0.042013876428406205,-10.755963342278221
NGC3626,2,False,0.2910459706779695,0.4005897610024867,-0.29043539864323176,-10.191589828803842
NGC3838,2,False,0.08076113027431824,0.12167172677585256,0.020559496495528202,-10.945395904943524
NGC3941,2,False,0.2604615009453911,0.3743110042771613,-0.2585675861598591,-10.332670405477643
NGC3945,2,False,0.09716833881145395,0.22009312103343395,-0.09160959040296221,-10.042352354507015
NGC3998,2,False,0.14680704894422225,0.06870692573770694,0.14567860706263552,-10.34442246300414
NGC4203,2,False,0.22115156820300783,0.3027332230267444,-0.18246853740510396,-10.349925985575245
NGC4262,2,False,0.15868021648111985,0.11955891794163302,0.1552052943542151,-10.350071626356877
NGC4278,2,False,0.029933289044626672,0.1011413825695984,0.029071365624767108,-10.004417848628181
NGC5582,2,False,0.22778784390620385,0.05924198802550666,0.17770501935377891,-10.99565726351496
NGC6798,2,False,0.2308993033637878,0.23675217408666704,0.1566123435162565,-10.855903663623417
UGC6176,2,False,0.2764448196947763,0.3268642619251439,0.11518743058938435,-10.477712994077613
